name,description,genre
autorecon,A multi-threaded network reconnaissance tool which performs automated enumeration of services.,automation
autosint,Tool to automate common osint tasks.,recon
autosploit,Automate the exploitation of remote hosts.,exploitation
autovpn,Easily connect to a VPN in a country of your choice.,automation
avaloniailspy,.NET Decompiler (port of ILSpy),decompiler
avet,AntiVirus Evasion Tool,binary
avml,A portable volatile memory acquisition tool for Linux.,misc
aws-extender-cli,Script to test S3 buckets as well as Google Storage buckets and Azure Storage containers for common misconfiguration issues.,scanner
aws-inventory,Discover resources created in an AWS account.,recon
awsbucketdump,A tool to quickly enumerate AWS S3 buckets to look for loot.,automation
azazel,A userland rootkit based off of the original LD_PRELOAD technique from Jynx rootkit.,backdoor
aztarna,A footprinting tool for ROS and SROS systems.,recon
backcookie,Small backdoor using cookie.,backdoor
backdoor-apk,Shell script that simplifies the process of adding a backdoor to any Android APK file,mobile
backdoor-factory,Patch win32/64 binaries with shellcode.,backdoor
backdoorme,A powerful utility capable of backdooring Unix machines with a slew of backdoors.,backdoor
backdoorppt,Transform your payload.exe into one fake word doc (.ppt).,backdoor
backfuzz,A network protocol fuzzing toolkit.,fuzzer
backhack,"Tool to perform Android app analysis by backing up and extracting apps, allowing you to analyze and modify file system contents for apps.",mobile
backoori,Tool aided persistence via Windows URI schemes abuse.,exploitation
backorifice,A remote administration system which allows a user to control a computer across a tcpip connection using a simple console or GUI application.,windows
bad-pdf,Steal NTLM Hashes with Bad-PDF.,exploitation
badkarma,Advanced network reconnaissance toolkit.,recon
badministration,A tool which interfaces with management or administration applications from an offensive standpoint.,webapp
bagbak,Yet another frida based App decryptor.,mobile
balbuzard,"A package of malware analysis tools in python to extract patterns of interest from suspicious files (IP addresses, domain names, known file headers, interesting strings, etc).",malware
bamf-framework,A modular framework designed to be a platform to launch attacks against botnets.,malware
bandicoot,A toolbox to analyze mobile phone metadata.,mobile
barf,A multiplatform open source Binary Analysis and Reverse engineering Framework.,binary
barmie,Java RMI enumeration and attack tool.,scanner
barq,An AWS Cloud Post Exploitation framework.,exploitation
base64dump,Extract and decode base64 strings from files.,misc
basedomainname,"Tool that can extract TLD (Top Level Domain), domain extensions (Second Level Domain + TLD), domain name, and hostname from fully qualified domain names.",recon
bashfuscator,Fully configurable and extendable Bash obfuscation framework.,automation
batctl,B.A.T.M.A.N. advanced control and management tool,wireless
batman-adv,"Batman kernel module, (included upstream since .38)",wireless
batman-alfred,Almighty Lightweight Fact Remote Exchange Daemon,wireless
bbqsql,SQL injection exploit tool.,webapp
bbscan,A tiny Batch web vulnerability Scanner.,webapp
bdfproxy,Patch Binaries via MITM: BackdoorFactory + mitmProxy,proxy
bdlogparser,"This is a utility to parse a Bit Defender log file, in order to sort them into a malware archive for easier maintenance of your malware collection.",malware
bed,"Collection of scripts to test for buffer overflows, format string vulnerabilities.",exploitation
beebug,A tool for checking exploitability.,decompiler
beef,The Browser Exploitation Framework that focuses on the web browser.,exploitation
beeswarm,Honeypot deployment made easy http://www.beeswarm-ids.org/,honeypot
beholder,A wireless intrusion detection tool that looks for anomalies in a wifi environment.,wireless
belati,The Traditional Swiss Army Knife for OSINT.,scanner
beleth,A Multi-threaded Dictionary based SSH cracker.,cracker
bettercap,Swiss army knife for network attacks and monitoring,sniffer
bettercap-ui,Official Bettercap's Web UI.,misc
bfac,An automated tool that checks for backup artifacts that may disclose the web-application's source code.,recon
bfbtester,Performs checks of single and multiple argument command line overflows and environment variable overflows,exploitation
bfuzz,Input based fuzzer tool for browsers.,fuzzer
bgp-md5crack,RFC2385 password cracker,cracker
bgrep,Binary grep.,binary
billcipher,Information Gathering tool for a Website or IP address.,recon
binaryninja-demo,A new kind of reversing platform (demo version).,reversing
binaryninja-python,Binary Ninja prototype written in Python.,binary
bind,"A complete, highly portable implementation of the DNS protocol",networking
bindead,A static analysis tool for binaries,binary
bindiff,"A comparison tool for binary files, that assists vulnerability researchers and engineers to quickly find differences and similarities in disassembled code.",binary
binex,Format String exploit building tool.,exploitation
binflow,POSIX function tracing. Much better and faster than ftrace.,binary
bing-ip2hosts,Enumerates all hostnames which Bing has indexed for a specific IP address.,recon
bing-lfi-rfi,Python script for searching Bing for sites that may have local and remote file inclusion vulnerabilities.,webapp
bingoo,A Linux bash based Bing and Google Dorking Tool.,scanner
binnavi,"A binary analysis IDE that allows to inspect, navigate, edit and annotate control flow graphs and call graphs of disassembled code.",disassembler
binproxy,A proxy for arbitrary TCP connections.,proxy
binwalk,A tool for searching a given binary image for embedded files,disassembler
binwally,Binary and Directory tree comparison tool using the Fuzzy Hashing concept (ssdeep).,binary
bios_memimage,A tool to dump RAM contents to disk (aka cold boot attack).,cracker
birp,A tool that will assist in the security assessment of mainframe applications served over TN3270.,scanner
bitdump,A tool to extract database data from a blind SQL injection vulnerability.,exploitation
bittwist,"A simple yet powerful libpcap-based Ethernet packet generator. It is designed to complement tcpdump, which by itself has done a great job at capturing network traffic.",sniffer
bkhive,Program for dumping the syskey bootkey from a Windows NT/2K/XP system hive.,cracker
blackbox-scanner,Dork scanner & bruteforcing & hash cracker with blackbox framework.,scanner
blackeye,"The most complete Phishing Tool, with 32 templates +1 customizable.",social
blackhash,Creates a filter from system hashes.,cracker
blacknurse,A low bandwidth ICMP attack that is capable of doing denial of service to well known firewalls.,dos
bleah,"A BLE scanner for ""smart"" devices hacking.",scanner
bless,"High-quality, full-featured hex editor",misc
bletchley,A collection of practical application cryptanalysis tools.,crypto
blind-sql-bitshifting,A blind SQL injection module that uses bitshfting to calculate characters.,exploitation
blindelephant,A web application fingerprinter. Attempts to discover the version of a (known) web application by comparing static files at known locations,fingerprint
blindsql,Set of bash scripts for blind SQL injection attacks.,database
blindy,Simple script to automate brutforcing blind sql injection vulnerabilities.,scanner
blisqy,Exploit Time-based blind-SQL injection in HTTP-Headers (MySQL/MariaDB).,webapp
bloodhound,Six Degrees of Domain Admin,recon
bloodhound-python,Bloodhound python data collector,recon
bluebox-ng,A GPL VoIP/UC vulnerability scanner.,voip
bluebugger,An implementation of the bluebug technique which was discovered by Martin Herfurt.,bluetooth
bluediving,A Bluetooth penetration testing suite.,bluetooth
bluefog,A tool that can generate an essentially unlimited number of phantom Bluetooth devices.,bluetooth
bluelog,"A Bluetooth scanner and sniffer written to do a single task, log devices that are in discoverable mode.",bluetooth
bluepot,"A Bluetooth Honeypot written in Java, it runs on Linux",bluetooth
blueprint,A perl tool to identify Bluetooth devices.,bluetooth
blueranger,A simple Bash script which uses Link Quality to locate Bluetooth device radios.,automation
bluescan,A Bluetooth Device Scanner.,bluetooth
bluesnarfer,A bluetooth attacking tool.,bluetooth
bluphish,Bluetooth device and service discovery tool that can be used for security assessment and penetration testing.,bluetooth
bluto,"Recon, Subdomain Bruting, Zone Transfers.",scanner
bmap-tools,Tool for copying largely sparse files using information from a block map file.,forensic
bmc-tools,RDP Bitmap Cache parser.,forensic
bob-the-butcher,A distributed password cracker package.,cracker
bof-detector,A simple detector of BOF vulnerabilities by source-code-level check.,code-audit
bonesi,The DDoS Botnet Simulator.,dos
boopsuite,A Suite of Tools written in Python for wireless auditing and security testing.,wireless
bopscrk,"Tool to generate smart wordlists, eg. based on lyrics.",automation
botb,A container analysis and exploitation tool for pentesters and engineers.,exploitation
bowcaster,A framework intended to aid those developing exploits.,exploitation
box-js,A tool for studying JavaScript malware.,malware
braa,A mass snmp scanner,scanner
braces,A Bluetooth Tracking Utility.,bluetooth
brakeman,A static analysis security vulnerability scanner for Ruby on Rails applications.,code-audit
brosec,An interactive reference tool to help security professionals utilize useful payloads and commands.,exploitation
browselist,"Retrieves the browse list ; the output list contains computer names, and the roles they play in the network.",windows
browser-fuzzer,Browser Fuzzer 3,fuzzer
brut3k1t,Brute-force attack that supports multiple protocols and services.,cracker
brute-force,Brute-Force attack tool for Gmail Hotmail Twitter Facebook Netflix.,cracker
brute12,A tool designed for auditing the cryptography container security in PKCS12 format.,windows
bruteforce-luks,Try to find the password of a LUKS encrypted volume.,cracker
bruteforce-salted-openssl,Try to find the password of a file that was encrypted with the 'openssl' command.,cracker
bruteforce-wallet,"Try to find the password of an encrypted Peercoin (or Bitcoin,Litecoin, etc...) wallet file.",cracker
brutemap,Penetration testing tool that automates testing accounts to the site's login page.,webapp
brutespray,Brute-Forcing from Nmap output - Automatically attempts default creds on found services.,automation
brutessh,"A simple sshd password bruteforcer using a wordlist, it's very fast for internal networks. It's multithreads.",cracker
brutex,Automatically brute force all services running on a target.,automation
brutexss,Cross-Site Scripting Bruteforcer.,webapp
brutus,"One of the fastest, most flexible remote password crackers you can get your hands on.",windows
bsdiff,bsdiff and bspatch are tools for building and applying patches to binary files.,reversing
bsqlbf,Blind SQL Injection Brute Forcer.,webapp
bsqlinjector,Blind SQL injection exploitation tool written in ruby.,webapp
bss,Bluetooth stack smasher / fuzzer,bluetooth
bt_audit,Bluetooth audit,bluetooth
btcrack,The world's first Bluetooth Pass phrase (PIN) bruteforce tool. Bruteforces the Passkey and the Link key from captured Pairing exchanges.,bluetooth
btlejack,Bluetooth Low Energy Swiss-army knife.,bluetooth
btproxy-mitm,Man in the Middle analysis tool for Bluetooth.,bluetooth
btscanner,Bluetooth device scanner.,bluetooth
bulk-extractor,Bulk Email and URL extraction tool.,forensic
bully,Retrieve WPA/WPA2 passphrase from a WPS enabled access point,wireless
bunny,"A closed loop, high-performance, general purpose protocol-blind fuzzer for C programs.",fuzzer
burpsuite,An integrated platform for attacking web applications (community edition) + SHELLING plugin.,fuzzer
buster,Find emails of a person and return info associated with them.,social
buttinsky,Provide an open source framework for automated botnet monitoring.,networking
bvi,"A display-oriented editor for binary files operate like ""vi"" editor.",binary
byepass,Automates password cracking tasks using optimized dictionaries and mangling rules.,automation
bypass-firewall-dns-history,Firewall bypass script based on DNS history records.,networking
bytecode-viewer,A Java 8/Android APK Reverse Engineering Suite.,binary
c5scan,Vulnerability scanner and information gatherer for the Concrete5 CMS.,webapp
cachedump,A tool that demonstrates how to recover cache entry information: username and hashed password (called MSCASH).,windows
cadaver,Command-line WebDAV client for Unix,networking
cafebabe,Java bytecode editor & decompiler.,decompiler
cameradar,Hacks its way into RTSP videosurveillance cameras.,scanner
camscan,A tool which will analyze the CAM table of Cisco switches to look for anamolies.,scanner
can-utils,Linux-CAN / SocketCAN user space applications.,automobile
canalyzat0r,Security analysis toolkit for proprietary car protocols.,automobile
canari,Maltego rapid transform development and execution framework.,forensic
cangibrina,Dashboard Finder.,scanner
cansina,A python-based Web Content Discovery Tool.,webapp
cantoolz,Framework for black-box CAN network analysis.,automobile
capfuzz,"Capture, fuzz and intercept web traffic.",sniffer
capstone,"Lightweight multi-platform, multi-architecture disassembly framework",reversing
captipper,Malicious HTTP traffic explorer tool.,forensic
cardpwn,OSINT Tool to find Breached Credit Cards Information.,social
carwhisperer,Intends to sensibilise manufacturers of carkits and other Bluetooth appliances without display and keyboard for the possible security threat evolving from the use of standard passkeys.,bluetooth
casefile,"The little brother to Maltego without transforms, but combines graph and link analysis to examine links between manually added data to mind map your information",forensic
catnthecanary,An application to query the canary.pw data set for leaked data.,recon
catphish,For phishing and corporate espionage.,social
ccrawldns,Retrieves from the CommonCrawl data set unique subdomains for a given domain name.,recon
cdpsnarf,Cisco discovery protocol sniffer.,sniffer
cecster,A tool to perform security testing against the HDMI CEC (Consumer Electronics Control) and HEC (HDMI Ethernet Channel) protocols.,scanner
centry,Cold boot & DMA protection,misc
certgraph,Crawl the graph of certificate Alternate Names.,recon
cewl,A custom word list generator.,automation
cflow,A C program flow analyzer.,code-audit
cfr,Another Java decompiler.,decompiler
chameleon,A tool for evading Proxy categorisation.,networking
chameleonmini,"Official repository of ChameleonMini, a freely programmable, portable tool for NFC security analysis that can emulate and clone contactless cards, read RFID tags and sniff/log RF data.",social
changeme,A default credential scanner.,scanner
chankro,Tool that generates a PHP capable of run a custom binary (like a meterpreter) or a bash script (p.e. reverse shell) bypassing disable_functions & open_basedir).,webapp
chaos-client,Go client to communicate with Chaos dataset API.,recon
chaosmap,An information gathering tool and dns / whois / web server scanner,forensic
chaosreader,"A freeware tool to trace tcp, udp etc. sessions and fetch application data from snoop or tcpdump logs.",networking
chapcrack,A tool for parsing and decrypting MS-CHAPv2 network handshakes.,cracker
cheat-sh,The only cheat sheet you need.,automation
check-weak-dh-ssh,Debian OpenSSL weak client Diffie-Hellman Exchange checker.,scanner
checkiban,Checks the validity of an International Bank Account Number (IBAN).,misc
checkpwd,Oracle Password Checker (Cracker).,cracker
checksec,Tool designed to test which standard Linux OS and PaX security features are being used,automation
chiasm-shell,"Python-based interactive assembler/disassembler CLI, powered byKeystone/Capstone.",disassembler
chipsec,Platform Security Assessment Framework.,hardware
chiron,An all-in-one IPv6 Penetration Testing Framework.,scanner
chisel,A fast TCP tunnel over HTTP.,tunnel
chkrootkit,Checks for rootkits on a system.,defensive
chntpw,Offline NT Password Editor - reset passwords in a Windows NT SAM user database file,forensic
chopshop,Protocol Analysis/Decoder Framework.,networking
choronzon,An evolutionary knowledge-based fuzzer.,fuzzer
chownat,Allows two peers behind two separate NATs with no port forwarding and no DMZ setup on their routers to directly communicate with each other,tunnel
chrome-decode,Chrome web browser decoder tool that demonstrates recovering passwords.,windows
chromefreak,A Cross-Platform Forensic Framework for Google Chrome,forensic
chromensics,A Google chrome forensics tool.,windows
chw00t,Unices chroot breaking tool.,exploitation
cidr2range,Script for listing the IP addresses contained in a CIDR netblock.,networking
cintruder,An automatic pentesting tool to bypass captchas.,cracker
cipherscan,A very simple way to find out which SSL ciphersuites are supported by a target.,scanner
ciphertest,A better SSL cipher checker using gnutls.,crypto
ciphr,"A CLI tool for encoding, decoding, encryption, decryption, and hashing streams of data.",crypto
cirt-fuzzer,A simple TCP/UDP protocol fuzzer.,fuzzer
cisco-auditing-tool,"Perl script which scans cisco routers for common vulnerabilities. Checks for default passwords, easily guessable community names, and the IOS history bug. Includes support for plugins and scanning multiple hosts.",cracker
cisco-global-exploiter,A perl script that targets multiple vulnerabilities in the Cisco Internetwork Operating System (IOS) and Catalyst products.,exploitation
cisco-ocs,Cisco Router Default Password Scanner.,cracker
cisco-router-config,Tools to copy and merge Cisco Routers Configuration.,misc
cisco-scanner,"Multithreaded Cisco HTTP vulnerability scanner. Tested on Linux, OpenBSD and Solaris.",cracker
cisco-snmp-enumeration,"Automated Cisco SNMP Enumeration, Brute Force, Configuration Download and Password Cracking.",automation
cisco-snmp-slap,IP address spoofing tool in order to bypass an ACL protecting an SNMP service on Cisco IOS devices.,spoof
cisco-torch,"Cisco Torch mass scanning, fingerprinting, and exploitation tool.",exploitation
cisco5crack,Crypt and decrypt the cisco enable 5 passwords.,cracker
cisco7crack,Crypt and decrypt the cisco enable 7 passwords.,cracker
ciscos,"Scans class A, B, and C networks for cisco routers which have telnet open and have not changed the default password from cisco.",scanner
citadel,A library of OSINT tools.,recon
cjexploiter,Drag and Drop ClickJacking exploit development assistance tool.,webapp
clair,Vulnerability Static Analysis for Containers.,scanner
clamscanlogparser,"This is a utility to parse a Clam Anti Virus log file, in order to sort them into a malware archive for easier maintanence of your malware collection.",malware
climber,Check UNIX/Linux systems for privilege escalation.,scanner
cloakify,Data Exfiltration In Plain Sight; Evade DLP/MLS Devices; Social Engineering of Analysts; Evade AV Detection.,misc
cloud-buster,A tool that checks Cloudflare enabled sites for origin IP leaks.,recon
cloudfail,Utilize misconfigured DNS and old database records to find hidden IP's behind the CloudFlare network.,recon
cloudflare-enum,Cloudflare DNS Enumeration Tool for Pentesters.,scanner
cloudget,Python script to bypass cloudflare from command line. Built upon cfscrape module.,webapp
cloudlist,A tool for listing Assets from multiple Cloud Providers.,recon
cloudmare,A simple tool to find origin servers of websites protected by CloudFlare with a misconfiguration DNS.,recon
cloudsploit,AWS security scanning checks.,scanner
cloudunflare,Reconnaissance Real IP address for Cloudflare Bypass.,recon
clusterd,"Automates the fingerprinting, reconnaissance, and exploitation phases of an application server attack.",automation
cminer,A tool for enumerating the code caves in PE files.,binary
cmospwd,Decrypts password stored in CMOS used to access BIOS setup.,cracker
cms-explorer,"Designed to reveal the specific modules, plugins, components and themes that various cms driven websites are running.",fingerprint
cms-few,"Joomla, Mambo, PHP-Nuke, and XOOPS CMS SQL injection vulnerability scanning tool written in Python.",webapp
cmseek,CMS (Content Management Systems) Detection and Exploitation suite.,webapp
cmsfuzz,"Fuzzer for wordpress, cold fusion, drupal, joomla, and phpnuke.",webapp
cmsmap,A python open source Content Management System scanner that automates the process of detecting security flaws of the most popular CMSs.,scanner
cmsscan,"CMS scanner to identify and find vulnerabilities for Wordpress, Drupal, Joomla, vBulletin.",webapp
cmsscanner,CMS Scanner Framework.,webapp
cnamulator,A phone CNAM lookup utility using the OpenCNAM API.,mobile
cntlm,"An NTLM, NTLM2SR, and NTLMv2 authenticating HTTP proxy.",proxy
codeql,The CLI tool for GitHub CodeQL,automation
codetective,A tool to determine the crypto/encoding algorithm used according to traces of its representation.,crypto
comission,WhiteBox CMS analysis.,webapp
commix,Automated All-in-One OS Command Injection and Exploitation Tool.,webapp
commonspeak,Leverages publicly available datasets from Google BigQuery to generate wordlists.,automation
complemento,"A collection of tools for pentester: LetDown is a powerful tcp flooder ReverseRaider is a domain scanner that use wordlist scanning or reverse resolution scanning Httsquash is an http server scanner, banner grabber and data retriever",fingerprint
configpush,This is a tool to span /8-sized networks quickly sending snmpset requests with default or otherwise specified community string to Cisco devices.,scanner
conpot,ICS honeypot with the goal to collect intelligence about the motives and methods of adversaries targeting industrial control systems.,honeypot
conscan,A blackbox vulnerability scanner for the Concre5 CMS.,fuzzer
cookie-cadger,An auditing tool for Wi-Fi or wired Ethernet connections.,fuzzer
corkscrew,A tool for tunneling SSH through HTTP proxies,tunnel
corscanner,Fast CORS misconfiguration vulnerabilities scanner.,webapp
corstest,A simple CORS misconfigurations checker.,scanner
corsy,CORS Misconfiguration Scanner.,webapp
cottontail,Capture all RabbitMQ messages being sent through a broker.,sniffer
cowpatty,Wireless WPA/WPA2 PSK handshake cracking utility,wireless
cpfinder,Simple script that looks for administrative web interfaces.,scanner
cppcheck,A tool for static C/C++ code analysis,code-audit
cpptest,"A portable and powerful, yet simple, unit testing framework for handling automated tests in C++.",code-audit
cr3dov3r,Search for public leaks for email addresses + check creds against 16 websites.,recon
crabstick,Automatic remote/local file inclusion vulnerability analysis and exploit tool.,webapp
crackhor,A Password cracking utility.,cracker
crackle,Crack and decrypt BLE encryption.,cracker
crackmapexec,A swiss army knife for pentesting Windows/Active Directory environments.,scanner
crackq,Hashcrack.org GPU-accelerated password cracker.,cracker
crackserver,An XMLRPC server for password cracking.,cracker
crawlic,"Web recon tool (find temporary files, parse robots.txt, search folders, google dorks and search domains hosted on same server).",webapp
creak,"Poison, reset, spoof, redirect MITM script.",networking
create_ap,A shell script to create a NATed/Bridged Software Access Point.,wireless
creddump,A python tool to extract various credentials and secrets from Windows registry hives.,cracker
credmap,The Credential mapper - Tool that was created to bring awareness to the dangers of credential reuse.,misc
creds,Harvest FTP/POP/IMAP/HTTP/IRC credentials along with interesting data from each of the protocols.,sniffer
credsniper,Phishing framework written with the Python micro-framework Flask and Jinja2 templating which supports capturing 2FA tokens.,social
creepy,A geolocation information gatherer. Offers geolocation information gathering through social networking platforms.,scanner
cribdrag,An interactive crib dragging tool for cryptanalysis on ciphertext generated with reused or predictable stream cipher keys.,crypto
crlf-injector,A python script for testing CRLF injecting issues.,fuzzer
crosslinked,LinkedIn enumeration tool to extract valid employee names from an organization through search engine scraping.,social
crosstool-ng,Versatile (cross-)toolchain generator.,misc
crowbar,A brute forcing tool that can be used during penetration tests. It is developed to support protocols that are not currently supported by thc-hydra and other popular brute forcing tools.,cracker
crozono,A modular framework designed to automate the penetration testing of wireless networks from drones and such unconventional devices.,drone
crunch,A wordlist generator for all combinations/permutations of a given character set.,automation
crypthook,TCP/UDP symmetric encryption tunnel wrapper.,crypto
cryptohazemultiforcer,High performance multihash brute forcer with CUDA support.,blackarch-cracke
