name,ref
asleap,http://www.willhackforsushi.com/Asleap.html
Asleap,https://tools.kali.org/wireless-attacks/asleap
asp-audit,http://seclists.org/basics/2006/Sep/128
assetfinder,https://github.com/tomnomnom/assetfinder
astra,https://github.com/flipkart-incubator/astra
atear,https://github.com/NORMA-Inc/AtEar
atftp,https://sourceforge.net/projects/atftp/
athena-ssl-scanner,http://packetstormsecurity.com/files/93062/Athena-SSL-Cipher-Scanner.html
atlas,https://github.com/m4ll0k/Atlas
atscan,https://github.com/AlisamTechnology/ATSCAN-V3.1
atstaketools,http://packetstormsecurity.com/files/50718/AtStakeTools.zip.html
attacksurfacemapper,https://github.com/superhedgy/AttackSurfaceMapper
attk,https://spnsupport.trendmicro.com/
aurebeshjs,https://github.com/aemkei/aurebesh.js
auto-eap,https://github.com/Tylous/Auto_EAP
Automater,https://tools.kali.org/information-gathering/automater
automato,https://github.com/skahwah/automato
autonessus,https://github.com/redteamsecurity/AutoNessus
autonse,https://github.com/m4ll0k/AutoNSE
autopsy,http://www.sleuthkit.org/autopsy/
autopwn,https://github.com/nccgroup/autopwn
autorecon,https://github.com/Tib3rius/AutoRecon
autosint,https://github.com/bharshbarger/AutOSINT
autosploit,https://github.com/NullArray/AutoSploit
autovpn,https://github.com/adtac/autovpn
auto-xor-decryptor,https://github.com/MRGEffitas/scripts
avaloniailspy,https://github.com/icsharpcode/AvaloniaILSpy
avet,https://github.com/govolution/avet
avml,https://github.com/microsoft/avml
awsbucketdump,https://github.com/jordanpotti/AWSBucketDump
aws-extender-cli,https://github.com/VirtueSecurity/aws-extender-cli
aws-inventory,https://github.com/nccgroup/aws-inventory
azazel,https://github.com/chokepoint/azazel
aztarna,https://github.com/aliasrobotics/aztarna
backcookie,https://github.com/mrjopino/backcookie
Backdoor Factory,https://tools.kali.org/exploitation-tools/backdoor-factory
backdoor-apk,https://github.com/dana-at-cp/backdoor-apk
backdoor-factory,https://github.com/secretsquirrel/the-backdoor-factory
backdoorme,https://github.com/Kkevsterrr/backdoorme
backdoorppt,https://github.com/r00txp10it/backdoorppt
backfuzz,https://github.com/localh0t/backfuzz
backhack,https://github.com/l0gan/backHack
backoori,https://github.com/giuliocomi/backoori
backorifice,http://www.cultdeadcow.com/tools/bo.html
badkarma,https://github.com/r3vn/badKarma
badministration,https://github.com/ThunderGunExpress/BADministration
bad-pdf,https://github.com/deepzec/Bad-Pdf
bagbak,https://github.com/ChiChou/bagbak
balbuzard,https://bitbucket.org/decalage/balbuzard/
bamf-framework,https://github.com/bwall/BAMF
bandicoot,https://pypi.org/project/bandicoot/#files
barf,https://github.com/programa-stic/barf-project
barmie,https://github.com/NickstaDB/BaRMIe
barq,https://github.com/Voulnet/barq
base64dump,https://blog.didierstevens.com/my-software/#base64dump
basedomainname,http://www.morningstarsecurity.com/research
bashfuscator,https://github.com/Bashfuscator/Bashfuscator
batctl,http://www.open-mesh.net/
batman-adv,http://www.open-mesh.net/
batman-alfred,http://www.open-mesh.org/
bbqsql,https://github.com/neohapsis/bbqsql
BBQSQL,https://tools.kali.org/vulnerability-analysis/bbqsql
bbscan,https://github.com/lijiejie/bbscan
bdfproxy,https://github.com/secretsquirrel/BDFProxy
bdlogparser,http://magikh0e.xyz/
bed,http://www.aldeid.com/wiki/Bed
BED,https://tools.kali.org/vulnerability-analysis/bed
beebug,https://github.com/invictus1306/beebug
beef,http://beefproject.com/
BeEF,https://tools.kali.org/exploitation-tools/beef-xss
beeswarm,https://github.com/honeynet/beeswarm/
beholder,http://www.beholderwireless.org/
belati,https://github.com/aancw/Belati
beleth,https://github.com/chokepoint/Beleth
Besside-ng,https://tools.kali.org/wireless-attacks/besside-ng
besside-ng,https://tools.kali.org/wireless-attacks/besside-ng
bettercap,https://github.com/bettercap/bettercap
bettercap,https://tools.kali.org/sniffingspoofing/bettercap
bettercap-ui,https://github.com/bettercap/ui
bfac,https://github.com/mazen160/bfac
bfbtester,http://sourceforge.net/projects/bfbtester/
bfuzz,https://github.com/RootUp/BFuzz
bgp-md5crack,http://www.c0decafe.de/
bgrep,https://github.com/tmbinc/bgrep
billcipher,https://github.com/GitHackTools/BillCipher
binaryninja-demo,http://binary.ninja/demo.html
binaryninja-python,https://github.com/Vector35/binaryninja-python
bind,https://www.isc.org/software/bind/
bindead,https://bitbucket.org/mihaila/bindead
bindiff,http://www.zynamics.com/bindiff.html
binex,http://www.morxploit.com/morxtool
binflow,https://github.com/elfmaster/binflow
bing-ip2hosts,http://www.morningstarsecurity.com/research/bing-ip2hosts
bing-ip2hosts,https://tools.kali.org/information-gathering/bing-ip2hosts
bing-lfi-rfi,http://packetstormsecurity.com/files/121590/Bing-LFI-RFI-Scanner.html
bingoo,https://github.com/Hood3dRob1n/BinGoo
binnavi,https://github.com/google/binnavi
binproxy,https://github.com/nccgroup/BinProxy/
binwalk,https://github.com/ReFirmLabs/binwalk
Binwalk,https://tools.kali.org/forensics/binwalk
binwally,https://github.com/bmaia/binwally
bios_memimage,http://citp.princeton.edu/memory/code/
birp,https://github.com/sensepost/birp
bitdump,https://github.com/nbshelton/bitdump
bittwist,http://bittwist.sourceforge.net/
bkhive,http://sourceforge.net/projects/ophcrack
blackbox-scanner,https://github.com/sepehrdaddev/blackbox
blackeye,https://github.com/thelinuxchoice/blackeye
blackhash,http://16s.us/blackhash/
blacknurse,https://github.com/jedisct1/blacknurse
bleah,https://github.com/evilsocket/bleah
bless,https://github.com/afrantzis/bless
bletchley,https://code.google.com/p/bletchley/
blindelephant,http://blindelephant.sourceforge.net/
BlindElephant,https://tools.kali.org/web-applications/blindelephant
blindsql,http://www.enye-sec.org/programas.html
blind-sql-bitshifting,https://github.com/libeclipse/blind-sql-bitshifting
blindy,https://github.com/missDronio/blindy
blisqy,https://github.com/JohnTroony/Blisqy
bloodhound,https://github.com/BloodHoundAD/BloodHound
bloodhound-python,https://github.com/fox-it/BloodHound.py
bluebox-ng,https://github.com/jesusprubio/bluebox-ng
bluebugger,http://packetstormsecurity.com/files/54024/bluebugger.1.tar.gz.html
bluediving,http://bluediving.sourceforge.net/
bluelog,http://www.digifail.com/software/bluelog.shtml
Bluelog,https://tools.kali.org/wireless-attacks/bluelog
BlueMaho,https://tools.kali.org/wireless-attacks/bluemaho
bluepot,https://code.google.com/p/bluepot/
Bluepot,https://tools.kali.org/wireless-attacks/bluepot
blueprint,https://trifinite.org/trifinite_stuff_blueprinting.html
blueranger,http://www.hackfromacave.com/projects/blueranger.html
BlueRanger,https://tools.kali.org/wireless-attacks/blueranger
bluescan,http://www.darknet.org.uk/2015/01/bluescan-bluetooth-device-scanner/
bluesnarfer,http://www.alighieri.org/project.html
Bluesnarfer,https://tools.kali.org/wireless-attacks/bluesnarfer
bluphish,https://github.com/olivo/BluPhish
bluto,https://github.com/RandomStorm/Bluto
bmap-tools,http://git.infradead.org/users/dedekind/bmap-tools.git
bmc-tools,https://github.com/ANSSI-FR/bmc-tools
bob-the-butcher,http://btb.banquise.net/
bof-detector,https://github.com/st9140927/BOF_Detector
bonesi,https://github.com/Markus-Go/bonesi
boopsuite,https://github.com/M1ND-B3ND3R/BoopSuite
bopscrk,https://github.com/R3nt0n/bopscrk
botb,https://github.com/brompwnie/botb
bowcaster,https://github.com/zcutlip/bowcaster
box-js,https://github.com/CapacitorSet/box-js
braa,http://s-tech.elsat.net.pl/braa/
braa,https://tools.kali.org/information-gathering/braa
braces,http://braces.shmoo.com/
brakeman,https://brakemanscanner.org/
brosec,https://github.com/gabemarshall/Brosec
browselist,http://ntsecurity.nu/toolbox/browselist/
browser-fuzzer,http://www.krakowlabs.com/dev.html
brut3k1t,https://github.com/ex0dusx/brut3k1t
brute12,http://www.security-projects.com/?Brute12
brute-force,https://github.com/Matrix07ksa/Brute_Force
bruteforce-luks,https://github.com/glv2/bruteforce-luks
bruteforce-salted-openssl,https://github.com/glv2/bruteforce-salted-openssl
bruteforce-wallet,https://github.com/glv2/bruteforce-wallet
brutemap,https://github.com/brutemap-dev/brutemap
brutespray,https://github.com/x90skysn3k/brutespray
BruteSpray,https://tools.kali.org/password-attacks/brutespray
brutessh,http://www.edge-security.com/edge-soft.php
brutex,https://github.com/1N3/BruteX
brutexss,https://github.com/shawarkhanethicalhacker/BruteXSS
brutus,http://www.hoobie.net/brutus/
bsdiff,https://www.daemonology.net/bsdiff/
bsqlbf,http://code.google.com/p/bsqlbf-v2/
bsqlinjector,https://github.com/enjoiz/BSQLinjector
bss,http://www.secuobs.com/news/15022006-bss_0_8.shtml
bt_audit,http://www.betaversion.net/btdsd/download/
btcrack,http://www.nruns.com/_en/security_tools_btcrack.php
btlejack,https://github.com/virtualabs/btlejack
btproxy-mitm,https://github.com/conorpp/btproxy
btscanner,http://www.pentest.co.uk
bulk-extractor,https://github.com/simsong/bulk_extractor
bulk-extractor,https://tools.kali.org/forensics/bulk-extractor
bully,https://github.com/aanarchyy/bully
Bully,https://tools.kali.org/wireless-attacks/bully
bunny,https://code.google.com/p/bunny-the-fuzzer/
Burp Suite,https://tools.kali.org/web-applications/burpsuite
burpsuite,https://portswigger.net/burp/releases/professional-community-2-1?requestededition=community
buster,https://github.com/sham00n/buster
buttinsky,https://github.com/buttinsky/buttinsky
bvi,http://bvi.sourceforge.net/
byepass,https://github.com/webpwnized/byepass
bypass-firewall-dns-history,https://github.com/vincentcox/bypass-firewalls-by-DNS-history
bytecode-viewer,https://github.com/Konloch/bytecode-viewer
c5scan,https://github.com/auraltension/c5scan
cachedump,https://packetstormsecurity.com/files/36781/cachedump.1.zip.html
cadaver,https://packages.debian.org/jessie/cadaver
cafebabe,https://grax.info/
cameradar,https://github.com/Ullaakut/cameradar
camscan,https://github.com/securestate/camscan
canalyzat0r,https://github.com/schutzwerk/CANalyzat0r
canari,https://pypi.org/project/canari/#files
cangibrina,https://github.com/fnk0c/cangibrina
cansina,https://github.com/deibit/cansina
cantoolz,https://github.com/CANToolz/CANToolz
can-utils,https://github.com/linux-can/can-utils
capfuzz,https://github.com/MobSF/CapFuzz
capstone,https://www.capstone-engine.org/index.html
Capstone,https://tools.kali.org/forensics/capstone
captipper,http://www.omriher.com/2015/01/captipper-malicious-http-traffic.html
cardpwn,https://github.com/itsmehacker/CardPwn
carwhisperer,http://trifinite.org/trifinite_stuff_carwhisperer.html
casefile,http://www.paterva.com/web6/products/casefile.php
CaseFile,https://tools.kali.org/information-gathering/casefile
catnthecanary,https://github.com/packetassailant/catnthecanary
catphish,https://github.com/ring0lab/catphish
ccrawldns,https://github.com/lgandx/CCrawlDNS
cdpsnarf,https://github.com/Zapotek/cdpsnarf
CDPSnarf,https://tools.kali.org/information-gathering/cdpsnarf
cecster,https://github.com/nccgroup/CECster
centry,https://github.com/0xPoly/Centry
certgraph,https://github.com/lanrat/certgraph
cewl,http://www.digininja.org/projects/cewl.php
CeWL,https://tools.kali.org/password-attacks/cewl
cflow,http://www.gnu.org/software/cflow/
cfr,http://www.benf.org/other/cfr/
chameleon,https://github.com/mdsecactivebreach/Chameleon
chameleonmini,https://github.com/emsec/ChameleonMini
changeme,https://github.com/ztgrace/changeme
chankro,https://github.com/TarlogicSecurity/Chankro
chaos-client,https://github.com/projectdiscovery/chaos-client
chaosmap,http://freecode.com/projects/chaosmap
chaosreader,http://chaosreader.sourceforge.net/
chapcrack,https://github.com/moxie0/chapcrack
cheat-sh,https://cheat.sh
checkiban,http://kernel.embedromix.ro/us/
checkpwd,http://www.red-database-security.com/software/checkpwd.html
checksec,https://github.com/slimm609/checksec.sh
check-weak-dh-ssh,http://packetstormsecurity.com/files/66683/check_weak_dh_ssh.pl.bz2.html
cherrytree,https://tools.kali.org/reporting-tools/cherrytree
chiasm-shell,https://github.com/0xbc/chiasm-shell
chipsec,https://github.com/chipsec/chipsec
chiron,http://www.secfu.net/tools-scripts/
chisel,https://github.com/jpillora/chisel
chkrootkit,http://www.chkrootkit.org/
chntpw,https://pogostick.net/~pnh/ntpasswd/
chntpw,https://tools.kali.org/password-attacks/chntpw
chopshop,https://github.com/MITRECND/chopshop
choronzon,https://github.com/CENSUS/choronzon
chownat,http://samy.pl/chownat/
chrome-decode,http://packetstormsecurity.com/files/119153/Chrome-Web-Browser-Decoder.html
chromefreak,http://osandamalith.github.io/ChromeFreak/
chromensics,https://sourceforge.net/projects/chromensics/
chw00t,https://github.com/earthquake/chw00t
cidr2range,http://www.cpan.org/authors/id/R/RA/RAYNERLUC
cintruder,https://github.com/epsylon/cintruder
cipherscan,https://github.com/jvehent/cipherscan
ciphertest,https://github.com/OpenSecurityResearch/ciphertest
ciphr,https://github.com/frohoff/ciphr
cirt-fuzzer,http://www.cirt.dk/
cisco5crack,https://github.com/madrisan/cisco7crack
cisco7crack,https://github.com/madrisan/cisco7crack
cisco-auditing-tool,http://www.scrypt.net
cisco-auditing-tool,https://tools.kali.org/vulnerability-analysis/cisco-auditing-tool
cisco-global-exploiter,http://www.blackangels.it
cisco-global-exploiter,https://tools.kali.org/vulnerability-analysis/cisco-global-exploiter
cisco-ocs,http://www.question-defense.com/2013/01/11/ocs-version-2-release-ocs-cisco-router-default-password-scanner
cisco-ocs,https://tools.kali.org/vulnerability-analysis/cisco-ocs
cisco-scanner,http://wayreth.eu.org/old_page/
cisco-snmp-enumeration,https://github.com/nccgroup/cisco-snmp-enumeration
cisco-snmp-slap,https://github.com/nccgroup/cisco-snmp-slap
cisco-torch,http://www.arhont.com
cisco-torch,https://tools.kali.org/information-gathering/cisco-torch
citadel,https://github.com/jakecreps/Citadel
cjexploiter,https://github.com/enddo/CJExploiter
clair,https://github.com/coreos/clair
clamscanlogparser,http://magikh0e.xyz/
climber,https://github.com/raffaele-forte/climber
cloakify,https://github.com/trycatchhcf/cloakify
cloud-buster,https://github.com/SageHack/cloud-buster
cloudfail,https://github.com/m0rtem/CloudFail
cloudflare-enum,https://github.com/mandatoryprogrammer/cloudflare_enum
cloudget,https://github.com/eudemonics/cloudget
cloudlist,https://github.com/projectdiscovery/cloudlist
cloudmare,https://github.com/MrH0wl/Cloudmare
cloudsploit,https://github.com/cloudsploit/scans
cloudunflare,https://github.com/greycatz/CloudUnflare
clusterd,https://github.com/hatRiot/clusterd
cminer,https://github.com/EgeBalci/Cminer/
cmospwd,http://www.cgsecurity.org/wiki/CmosPwd
CmosPwd,https://tools.kali.org/password-attacks/cmospwd
cmseek,https://github.com/Tuhinshubhra/CMSeeK
cms-explorer,https://github.com/FlorianHeigl/cms-explorer
cms-few,http://packetstormsecurity.com/files/64722/cms_few.py.txt.html
cmsfuzz,https://github.com/nahamsec/CMSFuzz
cmsmap,https://www.dionach.com/blog/cmsmap-%E2%80%93-a-simple-cms-vulnerability-scanner
cmsscan,https://github.com/ajinabraham/CMSScan
cmsscanner,https://github.com/wpscanteam/CMSScanner
cnamulator,https://github.com/packetassailant/cnamulator
cntlm,https://github.com/bseb/cntlm
codeql,https://github.com/codeql
codetective,https://www.digitalloft.org/init/plugin_wiki/page/codetective
comission,https://github.com/Intrinsec/comission
commix,https://github.com/commixproject/commix
Commix,https://tools.kali.org/exploitation-tools/commix
commonspeak,https://github.com/assetnote/commonspeak2
complemento,http://complemento.sourceforge.net
configpush,http://packetstormsecurity.com/files/126621/Config-Push-snmpset-Utility.html
conpot,https://pypi.org/project/Conpot/
conscan,http://nullsecurity.net/tools/scanner.html
cookie-cadger,https://cookiecadger.com/
copy-router-config,https://tools.kali.org/information-gathering/copy-router-config
corkscrew,https://github.com/patpadgett/corkscrew
corscanner,https://github.com/chenjj/CORScanner
corstest,https://github.com/RUB-NDS/CORStest
corsy,https://github.com/s0md3v/Corsy
cottontail,https://github.com/QKaiser/cottontail
cowpatty,https://github.com/joswr1ght/cowpatty
coWPAtty,https://tools.kali.org/wireless-attacks/cowpatty
cpfinder,http://packetstormsecurity.com/files/118851/Control-Panel-Finder-Script.html
cppcheck,http://cppcheck.sourceforge.net/
cpptest,https://github.com/cpptest/cpptest/releases
cr3dov3r,https://github.com/D4Vinci/Cr3dOv3r
crabstick,https://github.com/Hack-Hut/CrabStick
crackhor,https://github.com/CoalfireLabs/crackHOR
crackle,https://github.com/mikeryan/crackle/
crackle,https://tools.kali.org/wireless-attacks/crackle
crackmapexec,https://github.com/byt3bl33d3r/CrackMapExec
crackq,https://github.com/vnik5287/Crackq
crackserver,https://github.com/averagesecurityguy/crack
crawlic,https://github.com/Ganapati/Crawlic
creak,https://github.com/codepr/creak
create_ap,https://github.com/oblique/create_ap
creddump,https://github.com/moyix/creddump
creddump,https://tools.kali.org/password-attacks/creddump
credmap,https://github.com/lightos/credmap
creds,https://github.com/DanMcInerney/creds.py
credsniper,https://github.com/ustayready/CredSniper
creepy,http://github.com/ilektrojohn/creepy.git
cribdrag,https://github.com/SpiderLabs/cribdrag
crlf-injector,https://github.com/rudSarkar/crlf-injector
crosslinked,https://github.com/m8r0wn/crosslinked
crosstool-ng,https://crosstool-ng.github.io/
crowbar,https://github.com/galkan/crowbar
crowbar,https://tools.kali.org/password-attacks/crowbar
crozono,https://github.com/crozono/crozono-free
crunch,http://sourceforge.net/projects/crunch-wordlist/
crunch,https://tools.kali.org/password-attacks/crunch
CryptCat,https://tools.kali.org/maintaining-access/cryptcat
crypthook,https://github.com/chokepoint/CryptHook
cryptohazemultiforcer,http://www.cryptohaze.com/multiforcer.php
cryptonark,http://blog.techstacks.com/cryptonark.html
csrftester,http://www.owasp.org/index.php/Category:OWASP_CSRFTester_Project
ct-exposer,https://github.com/chris408/ct-exposer
ctf-party,https://noraj.github.io/ctf-party/
ctunnel,http://nardcore.org/ctunnel
ctypes-sh,https://github.com/taviso/ctypes.sh
cuckoo,http://cuckoosandbox.org/
Cuckoo,https://tools.kali.org/forensics/cuckoo
cudahashcat,http://hashcat.net/oclhashcat/
cupp,http://www.remote-exploit.org/?page_id=418
cutycapt,http://cutycapt.sourceforge.net/
CutyCapt,https://tools.kali.org/web-applications/cutycapt
cve-api,https://github.com/Beyarz/Cve-api
cvechecker,https://github.com/sjvermeu/cvechecker
cve-search,http://cve-search.github.io/cve-search
cybercrowl,https://github.com/chamli/CyberCrowl
cyberscan,https://github.com/medbenali/CyberScan
cymothoa,http://cymothoa.sourceforge.net/
Cymothoa,https://tools.kali.org/maintaining-access/cymothoa
dagon,https://github.com/Ekultek/Dagon
dalfox,https://github.com/hahwul/dalfox
damm,https://github.com/504ensicsLabs/DAMM
daredevil,https://github.com/SideChannelMarvels/Daredevil
darkarmour,https://github.com/bats3c/darkarmour
darkbing,http://packetstormsecurity.com/files/111510/darkBing-SQL-Scanner.1.html
darkd0rk3r,http://packetstormsecurity.com/files/117403/Dark-D0rk3r.0.html
dark-dork-searcher,http://rafale.org/~mattoufoutu/darkc0de.com/c0de/c/
darkdump,https://github.com/josh0xA/darkdump
darkjumper,http://sourceforge.net/projects/darkjumper/
darkmysqli,https://github.com/BlackArch/darkmysqli
darkscrape,https://github.com/itsmehacker/DarkScrape
darkspiritz,https://github.com/M4cs/DarkSpiritz
darkstat,https://unix4lyfe.org/darkstat/
datajackproxy,https://github.com/nccgroup/DatajackProxy
datasploit,https://github.com/upgoingstar/datasploit
davoset,http://websecurity.com.ua/davoset/
davscan,https://github.com/Graph-X/davscan
davtest,http://code.google.com/p/davtest/
DAVTest,https://tools.kali.org/web-applications/davtest
dawnscanner,https://github.com/thesp0nge/dawnscanner
dbd,https://github.com/gitdurandal/dbd
dbd,https://tools.kali.org/maintaining-access/dbd
dbpwaudit,http://www.cqure.net/wp/dbpwaudit/
dbusmap,https://github.com/taviso/dbusmap
dc3dd,http://sourceforge.net/projects/dc3dd
dc3dd,https://tools.kali.org/forensics/dc3dd
dcfldd,https://dcfldd.sourceforge.net/
dcrawl,https://github.com/kgretzky/dcrawl
ddrescue,https://www.gnu.org/software/ddrescue/ddrescue.html
ddrescue,https://tools.kali.org/forensics/ddrescue
de4dot,https://github.com/0xd4d/de4dot/
deathstar,https://github.com/byt3bl33d3r/DeathStar
debinject,https://github.com/UndeadSec/Debinject
deblaze,https://github.com/SpiderLabs/deblaze
deblaze,https://tools.kali.org/web-applications/deblaze
decodify,https://github.com/UltimateHackers/Decodify
deen,https://github.com/takeshixx/deen
delldrac,https://www.trustedsec.com/september/owning-dell-drac-awesome-hack/
delorean,https://github.com/PentesterES/Delorean
demiguise,https://github.com/nccgroup/demiguise
depant,http://midnightresearch.com/projects/depant/
depdep,https://github.com/galkan/depdep
depix,https://github.com/beurtschipper/Depix
det,https://github.com/sensepost/det
detectem,https://github.com/spectresearch/detectem
detect-it-easy,https://github.com/horsicq/DIE-engine/releases
detect-secrets,https://github.com/Yelp/detect-secrets
detect-sniffer,https://github.com/galkan/tools/tree/master/detect_sniffer
devaudit,https://github.com/sonatype-nexus-community/DevAudit
device-pharmer,https://github.com/DanMcInerney/device-pharmer
dex2jar,http://code.google.com/p/dex2jar
dex2jar,https://tools.kali.org/reverse-engineering/dex2jar
dexpatcher,https://github.com/DexPatcher/dexpatcher-tool
DFF,https://tools.kali.org/forensics/dff
dff-scanner,http://netsec.rs/70/tools.html
dfir-ntfs,https://github.com/msuhanov/dfir_ntfs
dga-detection,https://github.com/philarkwright/DGA-Detection
dharma,https://github.com/MozillaSecurity/dharma
dhcdrop,http://www.netpatch.ru/dhcdrop.html
dhcpf,https://github.com/elceef/dhcpf
dhcpig,https://github.com/kamorin/DHCPig
DHCPig,https://tools.kali.org/stress-testing/dhcpig
dhcpoptinj,https://github.com/misje/dhcpoptinj
didier-stevens-suite,https://github.com/DidierStevens/DidierStevensSuite
dinouml,http://kernel.embedromix.ro/us/
dirb,http://dirb.sourceforge.net/
DIRB,https://tools.kali.org/web-applications/dirb
dirble,https://github.com/nccgroup/dirble
dirbuster,http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project
