ProgramID,Name,Description,Tag
35,air,A GUI front-end to dd/dc3dd designed for easily creating forensic images.,forensics
36,airbase-ng,Airbase-ng is included in the aircrack-ng package. It is a multi-purpose tool aimed at attacking clients as opposed to the Access Point itself,wireless
37,aircrack-ng,"Aircrack-ng is an 802.11 WEP and WPA-PSK keys cracking program that can recover keys once enough data packets have been captured. It implements the standard FMS attack along with some optimizations like KoreK attacks, as well as the all-new PTW attack, thus making the attack much faster compared to other WEP cracking tools.",wireless
38,airdecap-ng-and-airdecloak-ng,"Airdecap-ng can decrypt WEP/WPA/WPA2 capture files and it can also be used to strip the wireless headers from an unencrypted wireless capture.
It outputs a new file ending with -dec.cap, which is the decrypted/stripped version of the input file.",wireless
39,aireplay-ng,"Aireplay-ng is included in the aircrack-ng package and is used to inject wireless frames. Its main role is to generate traffic for later use in aircrack-ng for cracking WEP and WPA-PSK keys. Aireplay-ng has many attacks that can deauthenticate wireless clients for the purpose of capturing WPA handshake data, fake authentications, interactive packet replay, hand-crafted ARP request injection, and ARP-request reinjection.",wireless
40,airflood,A modification of aireplay that allows for a DoS of the AP. This program fills the table of clients of the AP with random MACs doing impossible new connections. [Tool in Spanish],wireless
41,airgeddon,Multi-use bash script for Linux systems to audit wireless networks.,wireless
42,airgraph-ng,Airgraph-ng is tool to generate graphs to visualize data captured by airodump-ng. It can create two types of graphs:,wireless
43,airmon-ng,Airmon-ng is included in the aircrack-ng package and is used to enable and disable monitor mode on wireless interfaces. It may also be used to go back from monitor mode to managed mode.,wireless
44,airodump-ng,"Airodump-ng is included in the aircrack-ng package and is used for packet capturing of raw 802.11 frames. It is ideal for collecting WEP IVs for use with aircrack-ng. If you have a GPS receiver connected to the computer, airodump-ng can log the coordinates of the discovered access points.",wireless
45,airodump-ng-oui-update,airodump-ng-oui-update is a small utility included in the aircrack-ng package and is used to download the OUI list from the IEEE. It allows airodump-ng to fill in the manufacturer name when generating NetXML files.,wireless
46,airolib-ng,"Airolib-ng is an aircrack-ng suite tool designed to store and manage essid and password lists, compute their Pairwise Master Keys (PMKs) and use them in WPA/WPA2 cracking.",wireless
47,airopy,Get (wireless) clients and access points.,wireless
48,airoscript,A script to simplify the use of aircrack-ng tools.,wireless
49,airpwn,A tool for generic packet injection on an 802.11 network.,wireless
50,airserv-ng,Airserv-ng is a wireless card server that allows multiple wireless application programs to independently use a wireless card via a client-server TCP network connection. All operating system and wireless card driver specific code is incorporated into the server. This eliminates the need for each wireless application to contain the complex wireless card and driver logic. It is also supports multiple operating systems.,wireless
51,airtun-ng,Airtun-ng is a virtual tunnel interface creator and is included in the aircrack-ng package. Airtun-ng two basic functions:,wireless
52,ajpfuzzer,A command-line fuzzer for the Apache JServ Protocol (ajp13).,fuzzer
53,albatar,A SQLi exploitation framework in Python.,web-app
54,allthevhosts,A vhost discovery tool that scrapes various web applications.,scanner
55,altdns,"Generates permutations, alterations and mutations of subdomains and then resolves them.",recon
56,amap,"Amap was the first next-generation scanning tool for pentesters. It attempts to identify applications even if they are running on a different port than normal.
It also identifies non-ascii based applications. This is achieved by sending trigger packets, and looking up the responses in a list of response strings.",recon
57,amass,In-depth subdomain enumeration written in Go.,scanner
58,amber,Reflective PE packer.,binary
59,amoco,Yet another tool for analysing binaries.,binary
60,analyzemft,Parse the MFT file from an NTFS filesystem.,forensics
61,analyzepesig,Analyze digital signature of PE file.,windows
62,androbugs,An efficient Android vulnerability scanner that helps developers or hackers find potential security vulnerabilities in Android applications.,mobile
63,androguard,"Reverse engineering, Malware and goodware analysis of Android applications and more.",binary
64,androick,A python tool to help in forensics analysis on android.,mobile
65,android-apktool,A tool for reverse engineering Android apk files.,reverse-eng
66,android-ndk,Android C/C++ developer kit,mobile
67,androidpincrack,Bruteforce the Android Passcode given the hash and salt.,mobile
68,android-sdk,"The Android SDK provides you the API libraries and developer tools necessary to build, test, and debug apps for Android.",hardware
69,androidsniffer,"A perl script that lets you search for 3rd party passwords, dump the call log, dump contacts, dump wireless configuration, and more.",mobile
70,android-udev-rules,Android udev rules.,mobile
71,androwarn,Yet another static code analyzer for malicious Android applications.,mobile
72,angr,The next-generation binary analysis platform from UC Santa Barbaras Seclab.,binary
73,angr-management,This is the GUI for angr.,binary
74,angrop,A rop gadget finder and chain builder.,exploitation
75,angr-py2,The next-generation binary analysis platform from UC Santa Barbaras Seclab.,binary
76,anontwi,A free software python client designed to navigate anonymously on social networks. It supports Identi.ca and Twitter.com.,social
77,antiransom,A tool capable of detect and stop attacks of Ransomware using honeypots.,windows
78,anti-xss,A XSS vulnerability scanner.,web-app
79,apache-users,This Perl script will enumerate the usernames on any system that uses Apache with the UserDir module.,web-app
80,apacket,Sniffer syn and backscatter packets.,networking
81,aphopper,A program that automatically hops between access points of different wireless networks.,wireless
82,apkid,"Android Application Identifier for Packers, Protectors, Obfuscators and Oddities.",mobile
83,apkstat,Automated Information Retrieval From APKs For Initial Analysis.,mobile
84,apkstudio,An IDE for decompiling/editing & then recompiling of android application binaries.,reverse-eng
85,apktool,"It is a tool for reverse engineering 3rd party, closed, binary Android apps. It can decode resources to nearly original form and rebuild them after making some  modifications; it makes possible to debug smali code step by step. Also it  makes working with app easier because of project-like files structure and  automation of some repetitive tasks like building apk, etc. ",reverse-eng
86,apnbf,A small python script designed for enumerating valid APNs (Access Point Name) on a GTP-C speaking device.,wireless
87,appmon,"A runtime security testing & profiling framework for native apps on macOS, iOS & android and it is built using Frida.",mobile
88,apt2,An Automated Penetration Testing Toolkit.,recon
89,aquatone,A Tool for Domain Flyovers.,recon
90,arachni,"Arachni is an Open Source, feature-full, modular, high-performance Ruby framework aimed towards helping penetration testers and administrators evaluate the security of web applications. ",web-app
91,aranea,A fast and clean dns spoofing tool.,spoof
92,archivebox,"The open source self-hosted web archive. Takes browser history/bookmarks/Pocket/Pinboard/etc., saves HTML, JS, PDFs, media, and more.",misc
93,arduino,"Arduino is an open-source electronics prototyping platform based on flexible, easy-to-use hardware and software. It’s intended for artists, designers, hobbyists, and anyone interested in creating interactive objects or environments.",hardware
94,argon2,A password-hashing function (reference C implementation),crypto
95,argus,Network monitoring tool with flow control.,networking
96,argus-clients,Network monitoring client for Argus.,networking
97,arjun,HTTP parameter discovery suite.,web-app
98,armitage,"Armitage is a scriptable red team collaboration tool for Metasploit that visualizes targets, recommends exploits, and exposes the advanced post-exploitation features in the framework.",exploitation
99,armor,A simple Bash script designed to create encrypted macOS payloads capable of evading antivirus scanners.,exploitation
100,armscgen,ARM Shellcode Generator (Mostly Thumb Mode).,exploitation
101,arpalert,Monitor ARP changes in ethernet networks.,networking
102,ARPing,tool for discovering and probing hosts on a computer network,recon
103,arpoison,The UNIX arp cache update utility,exploitation
104,arpon,"A portable handler daemon that make ARP protocol secure in order to avoid the Man In The Middle (MITM) attack through ARP Spoofing, ARP Cache Poisoning or ARP Poison Routing (APR) attacks.",defensive
105,arp-scan,arp-scan is used to�scan�the network of a certain interface for alive hosts. It shows the ip address and mac addresses of all the hosts/nodes found.,recon
106,arpstraw,Arp spoof detection tool.,defensive
107,arptools,"A simple tool about ARP broadcast, ARP attack, and data transmission.",networking
108,arpwner,GUI-based python tool for arp poisoning and dns poisoning attacks.,networking
109,artillery,"A combination of a honeypot, file-system monitoring, system hardening, and overall health of a server to create a comprehensive way to secure a system.",defensive
110,artlas,Apache Real Time Logs Analyzer System.,defensive
111,arybo,"Manipulation, canonicalization and identification of mixed boolean-arithmetic symbolic expressions.",misc
112,Asleap,"exploits a deficency in cisco LEAP networks, Asleap can also be used to attack the Point-to-Point Tunneling Protocol (PPTP), and any MS-CHAPv2 exchange where you can specify the challenge and response values on the command line.",network
113,asp-audit,An ASP fingerprinting tool and vulnerability scanner.,fingerprint
114,assetfinder,Find domains and subdomains potentially related to a given domain.,scanner
115,astra,Automated Security Testing For REST API's.,web-app
116,atear,"Wireless Hacking, WiFi Security, Vulnerability Analyzer, Pentestration.",wireless
117,atexec.py,This example executes a command on the target machine through the Task Scheduler service and returns the output of the executed command.,windows
118,atftp,"Client/server implementation of the TFTP protocol that implements RFCs 1350, 2090, 2347, 2348, and 2349",networking
119,athena-ssl-scanner,A SSL cipher scanner that checks all cipher codes. It can identify about 150 different ciphers.,scanner
120,atlas,Open source tool that can suggest sqlmap tampers to bypass WAF/IDS/IPS.,web-app
121,atscan,"Server, Site and Dork Scanner.",scanner
122,atstaketools,"This is an archive of various @Stake tools that help perform vulnerability scanning and analysis, information gathering, password auditing, and forensics.",windows
123,attacksurfacemapper,Tool that aims to automate the reconnaissance process.,recon
124,attk,Trend Micro Anti-Threat Toolkit.,scanner
125,aurebeshjs,Translate JavaScript to Other Alphabets.,misc
126,auto-eap,Automated Brute-Force Login Attacks Against EAP Networks.,wireless
127,automater,"Automater is a URL/Domain, IP Address, and Md5 Hash OSINT tool aimed at making the analysis process easier for intrusion Analysts. Given a target (URL, IP, or HASH) or a file full of targets Automater will return relevant results from sources like the following: IPvoid.com, Robtex.com, Fortiguard.com, unshorten.me, Urlvoid.com, Labs.alienvault.com, ThreatExpert, VxVault, and VirusTotal.",recon
128,automato,Should help with automating some of the user-focused enumeration tasks during an internal penetration test.,automation
129,autonessus,This script communicates with the Nessus API in an attempt to help with automating scans.,automation
130,autonse,Massive NSE (Nmap Scripting Engine) AutoSploit and AutoScanner.,automation
131,autopsy,The forensic browser. A GUI for the Sleuth Kit.,forensics
132,autopwn,Specify targets and run sets of tools against them.,automation
133,autorecon,A multi-threaded network reconnaissance tool which performs automated enumeration of services.,automation
134,autosint,Tool to automate common osint tasks.,recon
135,autosploit,Automate the exploitation of remote hosts.,exploitation
136,autovpn,Easily connect to a VPN in a country of your choice.,automation
137,auto-xor-decryptor,Automatic XOR decryptor tool.,crypto
138,avaloniailspy,.NET Decompiler (port of ILSpy),decompiler
139,avet,AntiVirus Evasion Tool,binary
140,avml,A portable volatile memory acquisition tool for Linux.,misc
141,Awk,"used for text processing and typically used as a data extraction and reporting tool, unix based",misc
142,awsbucketdump,A tool to quickly enumerate AWS S3 buckets to look for loot.,automation
143,aws-extender-cli,Script to test S3 buckets as well as Google Storage buckets and Azure Storage containers for common misconfiguration issues.,scanner
144,aws-inventory,Discover resources created in an AWS account.,recon
145,azazel,A userland rootkit based off of the original LD_PRELOAD technique from Jynx rootkit.,backdoor
146,aztarna,A footprinting tool for ROS and SROS systems.,recon
147,backcookie,Small backdoor using cookie.,backdoor
148,backdoor-apk,Shell script that simplifies the process of adding a backdoor to any Android APK file,mobile
149,backdoor-factory,The goal of BDF is to patch executable binaries with user desired shellcode and continue normal execution of the prepatched state.,exploitation
150,backdoorme,A powerful utility capable of backdooring Unix machines with a slew of backdoors.,backdoor
151,backdoorppt,Transform your payload.exe into one fake word doc (.ppt).,backdoor
152,backfuzz,A network protocol fuzzing toolkit.,fuzzer
153,backhack,"Tool to perform Android app analysis by backing up and extracting apps, allowing you to analyze and modify file system contents for apps.",mobile
154,backoori,Tool aided persistence via Windows URI schemes abuse.,exploitation
155,backorifice,A remote administration system which allows a user to control a computer across a tcpip connection using a simple console or GUI application.,windows
156,badkarma,Advanced network reconnaissance toolkit.,recon
157,badministration,A tool which interfaces with management or administration applications from an offensive standpoint.,web-app
158,bad-pdf,Steal NTLM Hashes with Bad-PDF.,exploitation
159,bagbak,Yet another frida based App decryptor.,mobile
160,balbuzard,"A package of malware analysis tools in python to extract patterns of interest from suspicious files (IP addresses, domain names, known file headers, interesting strings, etc).",malware
161,bamf-framework,A modular framework designed to be a platform to launch attacks against botnets.,malware
162,bandicoot,A toolbox to analyze mobile phone metadata.,mobile
163,barf,A multiplatform open source Binary Analysis and Reverse engineering Framework.,binary
164,barmie,Java RMI enumeration and attack tool.,scanner
165,barq,An AWS Cloud Post Exploitation framework.,exploitation
166,base64dump,Extract and decode base64 strings from files.,misc
167,basedomainname,"Tool that can extract TLD (Top Level Domain), domain extensions (Second Level Domain + TLD), domain name, and hostname from fully qualified domain names.",recon
168,Bash,"Programing language used by shells, used for basic scripting",misc
169,bashfuscator,Fully configurable and extendable Bash obfuscation framework.,automation
170,batctl,B.A.T.M.A.N. advanced control and management tool,wireless
171,batman-adv,"Batman kernel module, (included upstream since .38)",wireless
172,batman-alfred,Almighty Lightweight Fact Remote Exchange Daemon,wireless
173,bbqsql,"Blind SQL injection can be a pain to exploit. When the available tools work they work well, but when they don’t you have to write something custom. This is time-consuming and tedious. BBQSQL can help you address those issues.",vulnerability-analysis
174,bbscan,A tiny Batch web vulnerability Scanner.,web-app
175,bdfproxy,Patch Binaries via MITM: BackdoorFactory + mitmProxy,proxy
176,bdlogparser,"This is a utility to parse a Bit Defender log file, in order to sort them into a malware archive for easier maintenance of your malware collection.",malware
177,bed,"BED stands for Bruteforce Exploit Detector. It is designed to check daemons for potential buffer overflows, format strings et. al.",vulnerability-analysis
178,beebug,A tool for checking exploitability.,decompiler
179,BeEF,BeEF is short for The Browser Exploitation Framework,web-app
180,beef-xss,BeEF is short for The Browser Exploitation Framework. It is a penetration testing tool that focuses on the web browser.,exploitation
181,beeswarm,Honeypot deployment made easy http://www.beeswarm-ids.org/,honeypot
182,beholder,A wireless intrusion detection tool that looks for anomalies in a wifi environment.,wireless
183,belati,The Traditional Swiss Army Knife for OSINT.,scanner
184,beleth,A Multi-threaded Dictionary based SSH cracker.,cracker
185,besside-ng,Besside-ng is a tool like Besside-ng but it support also WPA encryption. It will crack automatically all the WEP networks in range and log the WPA handshakes.,wireless
186,bettercap,"bettercap is the Swiss army knife for network attacks and monitoring. It is a network security tool for network capture, analysis and MITM attacks.",network
187,bettercap-ui,Official Bettercap's Web UI.,misc
188,bfac,An automated tool that checks for backup artifacts that may disclose the web-app's source code.,recon
189,bfbtester,Performs checks of single and multiple argument command line overflows and environment variable overflows,exploitation
190,BFDomain.py,used for brute forcing domain names,network
191,bfuzz,Input based fuzzer tool for browsers.,fuzzer
192,bgp-md5crack,RFC2385 password cracker,cracker
193,bgrep,Binary grep.,binary
194,billcipher,Information Gathering tool for a Website or IP address.,recon
195,binaryninja-demo,A new kind of reverse-eng platform (demo version).,reverse-eng
196,binaryninja-python,Binary Ninja prototype written in Python.,binary
197,bind,"A complete, highly portable implementation of the DNS protocol",networking
198,bindead,A static analysis tool for binaries,binary
199,bindiff,"A comparison tool for binary files, that assists vulnerability researchers and engineers to quickly find differences and similarities in disassembled code.",binary
200,binex,Format String exploit building tool.,exploitation
201,binflow,POSIX function tracing. Much better and faster than ftrace.,binary
202,bing-ip2hosts,Bing.com is a search engine owned by Microsoft formerly known as MSN Search and Live Search. It has a unique feature to search for websites hosted on a specific IP address. Bing-ip2hosts uses this feature to enumerate all hostnames which Bing has indexed for a specific IP address. This technique is considered best practice during the reconnaissance phase of a penetration test in order to discover a larger potential attack surface. Bing-ip2hosts is written in the Bash scripting language for Linux. This uses the mobile interface and no API key is required.,recon
203,bing-lfi-rfi,Python script for searching Bing for sites that may have local and remote file inclusion vulnerabilities.,web-app
204,bingoo,A Linux bash based Bing and Google Dorking Tool.,scanner
205,binnavi,"A binary analysis IDE that allows to inspect, navigate, edit and annotate control flow graphs and call graphs of disassembled code.",disassembler
206,binproxy,A proxy for arbitrary TCP connections.,proxy
207,binwalk,"Binwalk is a tool for searching a given binary image for embedded files and executable code. Specifically, it is designed for identifying files and code embedded inside of firmware images. Binwalk uses the libmagic library, so it is compatible with magic signatures created for the Unix file utility. Binwalk also includes a custom magic signature file which contains improved signatures for files that are commonly found in firmware images such as compressed/archived files, firmware headers, Linux kernels, bootloaders, filesystems, etc.",forensics
208,binwally,Binary and Directory tree comparison tool using the Fuzzy Hashing concept (ssdeep).,binary
209,bios_memimage,A tool to dump RAM contents to disk (aka cold boot attack).,cracker
210,birp,A tool that will assist in the security assessment of mainframe applications served over TN3270.,scanner
211,bitdump,A tool to extract database data from a blind SQL injection vulnerability.,exploitation
212,bittwist,"A simple yet powerful libpcap-based Ethernet packet generator. It is designed to complement tcpdump, which by itself has done a great job at capturing network traffic.",sniffer
213,bkhive,Program for dumping the syskey bootkey from a Windows NT/2K/XP system hive.,cracker
214,blackbox-scanner,Dork scanner & bruteforcing & hash cracker with blackbox framework.,scanner
215,blackeye,"The most complete Phishing Tool, with 32 templates +1 customizable.",social
216,blackhash,Creates a filter from system hashes.,cracker
217,blacknurse,A low bandwidth ICMP attack that is capable of doing denial of service to well known firewalls.,dos
218,bleah,"A BLE scanner for ""smart"" devices hacking.",scanner
219,bless,"High-quality, full-featured hex editor",misc
220,bletchley,A collection of practical application cryptanalysis tools.,crypto
221,blindelephant,"The BlindElephant Web Application Fingerprinter attempts to discover the version of a (known) web application by comparing static files at known locations against precomputed hashes for versions of those files in all all available releases. The technique is fast, low-bandwidth, non-invasive, generic, and highly automatable.",web-app
222,blindsql,Set of bash scripts for blind SQL injection attacks.,database
223,blind-sql-bitshifting,A blind SQL injection module that uses bitshfting to calculate characters.,exploitation
224,blindy,Simple script to automate brutforcing blind sql injection vulnerabilities.,scanner
225,blisqy,Exploit Time-based blind-SQL injection in HTTP-Headers (MySQL/MariaDB).,web-app
226,Bloodhound,Network mapping tool,network
227,bloodhound-python,Bloodhound python data collector,recon
228,bluebox-ng,A GPL VoIP/UC vulnerability scanner.,voip
229,bluebugger,An implementation of the bluebug technique which was discovered by Martin Herfurt.,bluetooth
230,bluediving,A Bluetooth penetration testing suite.,bluetooth
231,bluefog,A tool that can generate an essentially unlimited number of phantom Bluetooth devices.,bluetooth
232,bluelog,"Bluelog is a Linux Bluetooth scanner with optional daemon mode and web front-end, designed for site surveys and traffic monitoring. It’s intended to be run for long periods of time in a static location to determine how many discoverable Bluetooth devices there are in the area.",wireless
233,bluemaho,"BlueMaho is GUI-shell (interface) for suite of tools for testing security of bluetooth devices. It is freeware, opensource, written on python, uses wxPyhon. It can be used for testing BT-devices for known vulnerabilities and major thing to do – testing to find unknown vulns. Also it can form nice statistics.",wireless
234,bluepot,"Bluepot is a Bluetooth Honeypot written in Java, it runs on Linux.",wireless
235,blueprint,A perl tool to identify Bluetooth devices.,bluetooth
236,blueranger,"BlueRanger is a simple Bash script which uses Link Quality to locate Bluetooth device radios. It sends l2cap (Bluetooth) pings to create a connection between Bluetooth interfaces, since most devices allow pings without any authentication or authorization. The higher the link quality, the closer the device (in theory).",wireless
237,bluescan,A Bluetooth Device Scanner.,bluetooth
238,bluesnarfer,A Bluetooth bluesnarfing Utility.,wireless
239,bluphish,Bluetooth device and service discovery tool that can be used for security assessment and penetration testing.,bluetooth
240,bluto,"Recon, Subdomain Bruting, Zone Transfers.",scanner
241,bmap-tools,Tool for copying largely sparse files using information from a block map file.,forensics
242,bmc-tools,RDP Bitmap Cache parser.,forensics
243,bob-the-butcher,A distributed password cracker package.,cracker
244,bof-detector,A simple detector of BOF vulnerabilities by source-code-level check.,code-audit
245,bonesi,The DDoS Botnet Simulator.,dos
246,boopsuite,A Suite of Tools written in Python for wireless auditing and security testing.,wireless
247,bopscrk,"Tool to generate smart wordlists, eg. based on lyrics.",automation
248,botb,A container analysis and exploitation tool for pentesters and engineers.,exploitation
249,bowcaster,A framework intended to aid those developing exploits.,exploitation
250,box-js,A tool for studying JavaScript malware.,malware
251,braa,"Braa is a mass snmp scanner. The intended usage of such a tool is of course making SNMP queries – but unlike snmpget or snmpwalk from net-snmp, it is able to query dozens or hundreds of hosts simultaneously, and in a single process. Thus, it consumes very few system resources and does the scanning VERY fast.",recon
252,braces,A Bluetooth Tracking Utility.,bluetooth
253,brakeman,A static analysis security vulnerability scanner for Ruby on Rails applications.,code-audit
254,brosec,An interactive reference tool to help security professionals utilize useful payloads and commands.,exploitation
255,browselist,"Retrieves the browse list ; the output list contains computer names, and the roles they play in the network.",windows
256,browser-fuzzer,Browser Fuzzer 3,fuzzer
257,brut3k1t,Brute-force attack that supports multiple protocols and services.,cracker
258,brute12,A tool designed for auditing the cryptography container security in PKCS12 format.,windows
259,brute-force,Brute-Force attack tool for Gmail Hotmail Twitter Facebook Netflix.,cracker
260,bruteforce-luks,Try to find the password of a LUKS encrypted volume.,cracker
261,bruteforce-salted-openssl,Try to find the password of a file that was encrypted with the 'openssl' command.,cracker
262,bruteforce-wallet,"Try to find the password of an encrypted Peercoin (or Bitcoin,Litecoin, etc...) wallet file.",cracker
263,brutemap,Penetration testing tool that automates testing accounts to the site's login page.,web-app
264,brutespray,BruteSpray takes nmap GNMAP/XML output and automatically brute-forces services with default credentials using Medusa. BruteSpray can even find non-standard ports by using the -sV inside Nmap.,cracker
265,brutessh,"A simple sshd password bruteforcer using a wordlist, it's very fast for internal networks. It's multithreads.",cracker
266,brutex,Automatically brute force all services running on a target.,automation
267,brutexss,Cross-Site Scripting Bruteforcer.,web-app
268,brutus,"One of the fastest, most flexible remote password crackers you can get your hands on.",windows
269,bsdiff,bsdiff and bspatch are tools for building and applying patches to binary files.,reverse-eng
270,bsqlbf,Blind SQL Injection Brute Forcer.,web-app
271,bsqlinjector,Blind SQL injection exploitation tool written in ruby.,web-app
272,bss,Bluetooth stack smasher / fuzzer,bluetooth
273,bt_audit,Bluetooth audit,bluetooth
274,btcrack,The world's first Bluetooth Pass phrase (PIN) bruteforce tool. Bruteforces the Passkey and the Link key from captured Pairing exchanges.,bluetooth
275,btlejack,Bluetooth Low Energy Swiss-army knife.,bluetooth
276,btproxy-mitm,Man in the Middle analysis tool for Bluetooth.,bluetooth
277,btscanner,Bluetooth device scanner.,bluetooth
278,bulk-extractor,"bulk_extractor is a program that extracts features such as email addresses, credit card numbers, URLs, and other types of information from digital evidence files. It is a useful forensic investigation tool for many tasks such as malware and intrusion investigations, identity investigations and cyber investigations, as well as analyzing imagery and pass-word cracking.",forensics
279,bully,"Bully is a new implementation of the WPS brute force attack, written in C. It is conceptually identical to other programs, in that it exploits the (now well known) design flaw in the WPS specification. It has several advantages over the original reaver code. These include fewer dependencies, improved memory and cpu performance, correct handling of endianness, and a more robust set of options. It runs on Linux, and was specifically developed to run on embedded Linux systems (OpenWrt, etc) regardless of architecture.",wireless
280,bunny,"A closed loop, high-performance, general purpose protocol-blind fuzzer for C programs.",fuzzer
281,Burpsuit,"A program for manipulating HTTP requests, enumeration and Exploit",web-app
282,burpsuite,"Burp Suite is an integrated platform for performing security testing of web applications. Its various tools work seamlessly together to support the entire testing process, from initial mapping and analysis of an application’s attack surface, through to finding and exploiting security vulnerabilities.",web-app
283,buster,Find emails of a person and return info associated with them.,social
284,buttinsky,Provide an open source framework for automated botnet monitoring.,networking
285,bvi,"A display-oriented editor for binary files operate like ""vi"" editor.",binary
286,byepass,Automates password cracking tasks using optimized dictionaries and mangling rules.,automation
287,bypass-firewall-dns-history,Firewall bypass script based on DNS history records.,networking
288,bytecode-viewer,A Java 8/Android APK Reverse Engineering Suite.,binary
289,c5scan,Vulnerability scanner and information gatherer for the Concrete5 CMS.,web-app
290,cachedump,A tool that demonstrates how to recover cache entry information: username and hashed password (called MSCASH).,windows
291,cadaver,Command-line WebDAV client for Unix,networking
292,cafebabe,Java bytecode editor & decompiler.,decompiler
293,cameradar,Hacks its way into RTSP videosurveillance cameras.,scanner
294,camscan,A tool which will analyze the CAM table of Cisco switches to look for anamolies.,scanner
295,canalyzat0r,Security analysis toolkit for proprietary car protocols.,automobile
296,canari,Maltego rapid transform development and execution framework.,forensics
297,cangibrina,Dashboard Finder.,scanner
298,cansina,A python-based Web Content Discovery Tool.,web-app
299,cantoolz,Framework for black-box CAN network analysis.,automobile
300,can-utils,Linux-CAN / SocketCAN user space applications.,automobile
301,capfuzz,"Capture, fuzz and intercept web traffic.",sniffer
302,capstone,"Capstone is a disassembly framework with the target of becoming the ultimate disasm engine for binary analysis and reverse-eng in the security community. Created by Nguyen Anh Quynh, then developed and maintained by a small community, Capstone offers some unparalleled features:",forensics
303,captipper,Malicious HTTP traffic explorer tool.,forensics
304,cardpwn,OSINT Tool to find Breached Credit Cards Information.,social
305,carwhisperer,Intends to sensibilise manufacturers of carkits and other Bluetooth appliances without display and keyboard for the possible security threat evolving from the use of standard passkeys.,bluetooth
306,casefile,"CaseFile is the younger brother to Maltego. It is essentially the same graphing application as Maltego without the ability to run transforms. CaseFile gives you the ability to quickly add, link and analyze data. The application targets a unique market of ‘offline’ analysts whose primary sources of information are not gained from the open-source intelligence side or can be programmatically queried. We see these people as investigators and analysts who are working ‘on the ground’, getting intelligence from other people in the team and building up an information map of their investigation.",recon
307,catnthecanary,An application to query the canary.pw data set for leaked data.,recon
308,catphish,For phishing and corporate espionage.,social
309,ccrawldns,Retrieves from the CommonCrawl data set unique subdomains for a given domain name.,recon
310,cdpsnarf,"CDPSnarf is a network sniffer exclusively written to extract information from CDP packets.
It provides all the information a “show cdp neighbors detail” command would return on a Cisco router and even more.",recon
311,cecster,A tool to perform security testing against the HDMI CEC (Consumer Electronics Control) and HEC (HDMI Ethernet Channel) protocols.,scanner
312,centry,Cold boot & DMA protection,misc
313,certgraph,Crawl the graph of certificate Alternate Names.,recon
314,CeWL,spiders a given url returning a wordlist that is intednded for cracking passwords,web-app
315,cflow,A C program flow analyzer.,code-audit
